,route_short_name,stop_name,service_id,average_wait
246,45,Blok 44,Zimski-Subota,0:09:27.500000
247,45,Blok 44,Zimski-Nedelja,0:10:36.448598
248,82,Blok 44,Zimski-Radni Dan,0:16:59.047619
249,82,Blok 44,Zimski-Subota,0:18:41.052632
250,82,Blok 44,Zimski-Nedelja,0:18:41.052632
251,602,Blok 44,Zimski-Radni Dan,0:28:20
252,602,Blok 44,Zimski-Subota,0:37:45.517241
253,602,Blok 44,Zimski-Nedelja,0:37:45.517241
254,84,Nova Galenika,Zimski-Radni Dan,0:07:42.162162
255,84,Nova Galenika,Zimski-Subota,0:10:10.714286
256,84,Nova Galenika,Zimski-Nedelja,0:12:40
257,612,Nova Galenika,Zimski-Radni Dan,0:47:30
258,612,Nova Galenika,Zimski-Subota,0:47:30
259,612,Nova Galenika,Zimski-Nedelja,1:32:00
260,15,Zeleni Venac,Zimski-Radni Dan,0:07:45.100671
261,15,Zeleni Venac,Zimski-Subota,0:07:52.602740
262,15,Zeleni Venac,Zimski-Nedelja,0:09:12
263,68,Zeleni Venac,Zimski-Radni Dan,0:25:38.461538
264,68,Zeleni Venac,Zimski-Subota,0:29:24.705882
265,68,Zeleni Venac,Zimski-Nedelja,0:29:24.705882
266,45,Zemun /Novi Grad/,Zimski-Radni Dan,0:07:45.306122
267,15,Zemun /Novi Grad/,Zimski-Radni Dan,0:07:57.551020
268,15,Zemun /Novi Grad/,Zimski-Subota,0:07:57.551020
269,15,Zemun /Novi Grad/,Zimski-Nedelja,0:09:17.142857
270,45,Zemun /Novi Grad/,Zimski-Subota,0:09:30
271,45,Zemun /Novi Grad/,Zimski-Nedelja,0:10:33.333333
272,78,Zemun /Novi Grad/,Zimski-Radni Dan,0:10:54
273,78,Zemun /Novi Grad/,Zimski-Subota,0:16:43.278689
274,78,Zemun /Novi Grad/,Zimski-Nedelja,0:17:53.684211
275,27E,Novi Beograd (Blok 20),Zimski-Radni Dan,0:07:49.565217
276,27E,Novi Beograd (Blok 20),Zimski-Subota,0:09:28.141593
277,27E,Novi Beograd (Blok 20),Zimski-Nedelja,0:10:35.643564
278,17,Zemun /Gornji Grad/,Zimski-Radni Dan,0:07:53.154362
279,17,Zemun /Gornji Grad/,Zimski-Nedelja,0:09:08.437500
280,17,Zemun /Gornji Grad/,Zimski-Subota,0:09:08.437500
281,17,Konjarnik,Zimski-Radni Dan,0:07:55.510204
282,17,Konjarnik,Zimski-Subota,0:08:51.297710
283,17,Konjarnik,Zimski-Nedelja,0:08:59.534884
284,27E,Mirijevo 4,Zimski-Radni Dan,0:07:58.321678
285,27E,Mirijevo 4,Zimski-Subota,0:09:39.661017
286,27E,Mirijevo 4,Zimski-Nedelja,0:10:45.283019
287,79,Mirijevo 4,Zimski-Radni Dan,0:12:36.818182
288,25P,Mirijevo 4,Zimski-Radni Dan,0:15:29.166667
289,79,Mirijevo 4,Zimski-Subota,0:17:20.625000
290,79,Mirijevo 4,Zimski-Nedelja,0:17:20.625000
291,25P,Mirijevo 4,Zimski-Subota,0:17:54.193548
292,E6,Mirijevo 4,Zimski-Radni Dan,0:19:33.913043
293,E6,Mirijevo 4,Zimski-Subota,0:19:33.913043
294,25P,Mirijevo 4,Zimski-Nedelja,0:22:12
295,47,Železnička Stanica Resnik,Zimski-Subota,0:08:01.632653
296,47,Železnička Stanica Resnik,Zimski-Radni Dan,0:08:11.666667
297,47,Železnička Stanica Resnik,Zimski-Nedelja,0:11:05.094340
298,504,Železnička Stanica Resnik,Zimski-Subota,0:19:02.105263
299,504,Železnička Stanica Resnik,Zimski-Radni Dan,0:19:02.105263
300,504,Železnička Stanica Resnik,Zimski-Nedelja,0:19:02.105263
301,503,Železnička Stanica Resnik,Zimski-Radni Dan,0:42:17.500000
302,503,Železnička Stanica Resnik,Zimski-Nedelja,1:12:30
303,503,Železnička Stanica Resnik,Zimski-Subota,1:12:30
304,84,Zeleni Venac,Zimski-Radni Dan,0:08:02.517483
305,84,Zeleni Venac,Zimski-Subota,0:09:58.956522
306,84,Zeleni Venac,Zimski-Nedelja,0:12:34.945055
307,65,Novo Bežanijsko Groblje,Zimski-Radni Dan,0:08:15.857143
308,65,Novo Bežanijsko Groblje,Zimski-Subota,0:11:03.461538
309,65,Novo Bežanijsko Groblje,Zimski-Nedelja,0:12:03.157895
310,43,Kotež,Zimski-Subota,0:08:23.649635
311,43,Kotež,Zimski-Radni Dan,0:08:27.352941
312,43,Kotež,Zimski-Nedelja,0:10:57.142857
313,18,Zemun /Bačka/,Zimski-Radni Dan,0:08:24.347826
314,18,Zemun /Bačka/,Zimski-Subota,0:10:32.727273
315,18,Zemun /Bačka/,Zimski-Nedelja,0:11:40
316,83,Zemun /Bačka/,Zimski-Subota,0:11:49.375000
317,83,Zemun /Bačka/,Zimski-Radni Dan,0:12:00
318,83,Zemun /Bačka/,Zimski-Nedelja,0:14:56.052632
319,43,Trg Republike,Zimski-Subota,0:08:25.839416
320,43,Trg Republike,Zimski-Radni Dan,0:08:29.558824
321,43,Trg Republike,Zimski-Nedelja,0:11:06.346154
322,65,Zvezdara 2,Zimski-Radni Dan,0:08:27.352941
323,65,Zvezdara 2,Zimski-Subota,0:11:10.588235
324,65,Zvezdara 2,Zimski-Nedelja,0:11:52.500000
325,26L,Vojvode Vlahovića (Terminus),Zimski-Radni Dan,0:08:27.731092
326,26L,Vojvode Vlahovića (Terminus),Zimski-Nedelja,0:17:03.050847
327,26L,Vojvode Vlahovića (Terminus),Zimski-Subota,0:17:03.050847
328,35,Novi Beograd (Blok 20),Zimski-Radni Dan,0:08:39.047619
329,35,Novi Beograd (Blok 20),Zimski-Subota,0:10:00
330,35,Novi Beograd (Blok 20),Zimski-Nedelja,0:12:55.609756
331,35,Lešće /Groblje/,Zimski-Radni Dan,0:08:39.685039
332,35,Lešće /Groblje/,Zimski-Subota,0:09:57.272727
333,35,Lešće /Groblje/,Zimski-Nedelja,0:12:55.609756
334,35L,Lešće /Groblje/,Zimski-Radni Dan,1:06:00
335,9,Blok 45,Zimski-Radni Dan,0:08:52.031250
336,7,Blok 45,Zimski-Radni Dan,0:09:10.781250
337,7,Blok 45,Zimski-Nedelja,0:10:13.043478
338,7,Blok 45,Zimski-Subota,0:10:13.043478
339,9,Blok 45,Zimski-Nedelja,0:11:27.878788
340,9,Blok 45,Zimski-Subota,0:11:27.878788
341,13,Blok 45,Zimski-Radni Dan,0:12:20
342,13,Blok 45,Zimski-Subota,0:13:32.195122
343,13,Blok 45,Zimski-Nedelja,0:13:32.195122
344,11,Blok 45,Zimski-Radni Dan,0:23:33.333333
345,11,Blok 45,Zimski-Subota,0:23:33.333333
346,11,Blok 45,Zimski-Nedelja,0:23:33.333333
347,9,Banjica,Zimski-Radni Dan,0:08:54.375000
348,9,Banjica,Zimski-Nedelja,0:11:26.138614
349,9,Banjica,Zimski-Subota,0:11:26.138614
350,10,Banjica,Zimski-Radni Dan,0:14:17.142857
351,10,Banjica,Zimski-Subota,0:15:16.666667
352,10,Banjica,Zimski-Nedelja,0:15:16.666667
353,14,Banjica,Zimski-Radni Dan,0:17:30
354,14,Banjica,Zimski-Subota,0:19:05.454545
355,14,Banjica,Zimski-Nedelja,0:19:05.454545
356,94,Resnik (Edvarda Griga),Zimski-Radni Dan,0:09:13.278689
357,94,Resnik (Edvarda Griga),Zimski-Subota,0:11:33.750000
358,94,Resnik (Edvarda Griga),Zimski-Nedelja,0:12:03.913043
359,506,Resnik (Edvarda Griga),Zimski-Radni Dan,0:29:35
360,506,Resnik (Edvarda Griga),Zimski-Subota,0:38:31.111111
361,506,Resnik (Edvarda Griga),Zimski-Nedelja,0:38:31.111111
362,40,Zvezdara,Zimski-Radni Dan,0:09:17.522124
363,28,Zvezdara,Zimski-Radni Dan,0:09:57.435897
364,40,Zvezdara,Zimski-Subota,0:10:30
365,40,Zvezdara,Zimski-Nedelja,0:10:30
366,28,Zvezdara,Zimski-Nedelja,0:10:35.454545
367,28,Zvezdara,Zimski-Subota,0:10:35.454545
368,77,Zvezdara,Zimski-Subota,0:13:05.185185
369,77,Zvezdara,Zimski-Radni Dan,0:13:56.842105
370,77,Zvezdara,Zimski-Nedelja,0:16:49.523810
371,64,Zvezdara,Zimski-Nedelja,0:38:10.909091
372,64,Zvezdara,Zimski-Radni Dan,0:38:10.909091
373,64,Zvezdara,Zimski-Subota,0:38:10.909091
374,7,Ustanička,Zimski-Radni Dan,0:09:26.129032
375,7,Ustanička,Zimski-Subota,0:10:10.434783
376,7,Ustanička,Zimski-Nedelja,0:10:10.434783
377,5,Ustanička,Zimski-Radni Dan,0:11:16.530612
378,5,Ustanička,Zimski-Subota,0:13:34.814815
379,5,Ustanička,Zimski-Nedelja,0:13:34.814815
380,14,Ustanička,Zimski-Radni Dan,0:17:30
381,14,Ustanička,Zimski-Nedelja,0:19:26.666667
382,14,Ustanička,Zimski-Subota,0:19:26.666667
383,6,Ustanička,Zimski-Radni Dan,0:23:26.666667
384,6,Ustanička,Zimski-Nedelja,0:23:45
385,6,Ustanička,Zimski-Subota,0:23:45
386,32,Vukov Spomenik,Zimski-Radni Dan,0:09:49.743590
387,32,Vukov Spomenik,Zimski-Subota,0:11:44.081633
388,32,Vukov Spomenik,Zimski-Nedelja,0:14:22.500000
389,66,Vukov Spomenik,Zimski-Radni Dan,0:19:53.333333
390,66,Vukov Spomenik,Zimski-Nedelja,0:19:53.333333
391,66,Vukov Spomenik,Zimski-Subota,0:19:53.333333
392,EKO1,Vukov Spomenik,Zimski-Nedelja,0:24:05.454545
393,EKO1,Vukov Spomenik,Zimski-Radni Dan,0:24:05.454545
394,EKO1,Vukov Spomenik,Zimski-Subota,0:24:05.454545
395,52,Cerak Vinogradi,Zimski-Radni Dan,0:09:54.782609
396,52,Cerak Vinogradi,Zimski-Subota,0:11:52.500000
397,52,Cerak Vinogradi,Zimski-Nedelja,0:14:25.822785
398,534,Cerak Vinogradi,Zimski-Radni Dan,0:26:49.090909
399,534,Cerak Vinogradi,Zimski-Nedelja,0:49:07.826087
400,534,Cerak Vinogradi,Zimski-Subota,0:49:07.826087
401,21A,Učiteljsko Naselje,Zimski-Radni Dan,0:10:00
402,21A,Učiteljsko Naselje,Zimski-Nedelja,0:17:13.846154
403,21A,Učiteljsko Naselje,Zimski-Subota,0:17:13.846154
404,52,Zeleni Venac,Zimski-Radni Dan,0:10:10.714286
405,52,Zeleni Venac,Zimski-Subota,0:12:07.659574
406,52,Zeleni Venac,Zimski-Nedelja,0:14:36.923077
407,39,Kumodraž 1,Zimski-Radni Dan,0:10:11.320755
408,39,Kumodraž 1,Zimski-Subota,0:13:20
409,39,Kumodraž 1,Zimski-Nedelja,0:16:36.923077
410,32,Višnjica,Zimski-Radni Dan,0:10:13.274336
411,32,Višnjica,Zimski-Subota,0:11:47.142857
412,32,Višnjica,Zimski-Nedelja,0:14:26.250000
413,32E,Višnjica,Zimski-Radni Dan,0:31:06.666667
414,EKO2,Dorćol /Src Milan Gale Muškatirović/,Zimski-Radni Dan,0:10:14.423077
415,79,Dorćol /Src Milan Gale Muškatirović/,Zimski-Radni Dan,0:12:36.976744
416,EKO2,Dorćol /Src Milan Gale Muškatirović/,Zimski-Nedelja,0:13:18.750000
417,EKO2,Dorćol /Src Milan Gale Muškatirović/,Zimski-Subota,0:13:18.750000
418,24,Dorćol /Src Milan Gale Muškatirović/,Zimski-Radni Dan,0:13:23.571429
419,79,Dorćol /Src Milan Gale Muškatirović/,Zimski-Nedelja,0:17:30
420,79,Dorćol /Src Milan Gale Muškatirović/,Zimski-Subota,0:17:30
421,24,Dorćol /Src Milan Gale Muškatirović/,Zimski-Subota,0:21:02.264151
422,24,Dorćol /Src Milan Gale Muškatirović/,Zimski-Nedelja,0:21:02.264151
