,stop_name,number_of_distinct_route_ids
1364,Lešće /Ulaz/,2
1020,Jrb,2
663,Vojvode Dobrnjca,2
664,Vojvode Dobrnjca,2
665,Gundulićev Venac,2
666,Gundulićev Venac,2
1019,Novi Železnički Most,2
1755,Jakovo,2
1377,Omladinska,2
1520,Narodnog Fronta,2
742,Senjačka,2
1378,Omladinska,2
1380,Mz Veliko Selo,2
779,Krajiška,2
1003,Bulevar Kneza Aleksandra Karađorđevića,2
733,Kozjačka,2
736,Topčiderska Zvezda,2
737,Topčiderska Zvezda,2
738,Vase Pelagića,2
739,Vase Pelagića,2
1478,Ritopek /Ulaz/,2
992,Robni Terminal,2
778,Krajiška,2
1183,Dobrivoja Jovanovića,2
1182,Zemun /Bačka/,2
740,Vojislava Vučkovića,2
741,Vojislava Vučkovića,2
768,Ugrinovačka,2
1062,Španskih Boraca,2
743,Topčidersko Brdo /Senjak/,2
744,Konjarnik,2
993,Bežanijska Kosa /Groblje/,2
765,Dušanova,2
766,Dušanova,2
1004,Bulevar Kneza Aleksandra Karađorđevića,2
1379,Mz Veliko Selo,2
1381,Veliko Selo,2
1173,Pijaca Blok 44,2
722,Baje Pivljanina,2
784,Beogradska Arena,2
787,Mihajla Gavrilovića,2
783,Beogradska Arena,2
789,Maksima Gorkog,2
1172,Pijaca Blok 44,2
781,Železnička Stanica Zemun,2
782,Železnička Stanica Zemun,2
786,Mihajla Gavrilovića,2
780,Atanasija Pulje,2
723,Baje Pivljanina,2
2777,Dedinje (Ortopedska Bolnica),1
2809,1. Nova,1
2731,Janković Kraj,1
1332,Rafinerija,1
2730,Janković Kraj,1
2729,Zaklopača (Ćelije),1
2807,Pošta,1
2740,Vrčin ,1
2808,1. Nova,1
1331,Rafinerija,1
2806,Pošta,1
2738,Vrčin (Ivo Lola Ribar),1
2770,Cvećara,1
2739,Vrčin ,1
2734,Vrčin Gornji Kraj,1
2799,Zemljoradnička (Izlaz) - Osečinska,1
2802,Mz Resnik,1
2733,17. Januara,1
2805,Petrovdanska,1
2804,Petrovdanska,1
2774,Saveza Boraca 1,1
1330,Hidrotehnika,1
1325,Politika,1
2732,17. Januara,1
2800,Zemljoradnička (Izlaz) - Osečinska,1
2773,Saveza Boraca 1,1
2776,Tc Zmaj,1
2736,Vrčin - Nadvožnjak,1
2737,Vrčin - Nadvožnjak,1
2772,Beli Potok (Igralište),1
2735,Vrčin Gornji Kraj,1
2801,Podavalska (Izlaz),1
2759,Naselje Belvil,1
2741,Pavićevac 2,1
2798,Rakovica Selo (Gornji Kraj),1
1333,Janko Lisjak,1
1334,Blok Braća Marić,1
1335,Progres,1
1336,Janko Lisjak,1
1329,Hidrotehnika,1
2751,Ristin Potok,1
2763,Novi Beograd (Ušće),1
2762,Novi Beograd (Blok 20),1
1339,Košutnjak,1
2788,Živača,1
2753,Vinjage,1
2787,Živača,1
2754,Pogon Kosmaj,1
2786,Pumpa,1
2785,Pumpa,1
2761,Novi Beograd (Blok 20),1
1326,Politika,1
1338,Busije 1,1
2760,Novi Beograd (Blok 20),1
1337,Blok Braća Marić,1
2757,Metro,1
2782,Omladinska,1
2781,Omladinska,1
2789,Zemljoradnička (Ulaz),1
2794,Zabran Torlak,1
2778,Dedinje (Ortopedska Bolnica),1
2742,Pavićevac 2,1
2743,Velika Moštanica - M,1
2758,Metro,1
2797,Rakovica Selo (Gornji Kraj),1
2744,Lipovica (Policija),1
2745,Lipovica (Policija),1
2796,Zemljoradnička (Put Za Deponiju),1
2795,Zemljoradnička (Put Za Deponiju),1
2793,Zabran Torlak,1
2771,Cvećara,1
2779,Miloja Đaka,1
2792,Đurđevdanska,1
2746,Put Za Crvenku,1
2747,Put Za Crvenku,1
2780,Miloja Đaka,1
2791,Đurđevdanska,1
2790,Zemljoradnička (Ulaz),1
2748,Milošev Kladenac,1
2749,Milošev Kladenac,1
1796,Bečmenskih Ilegalaca,1
2699,Oš Nikola Tesla,1
2728,Zaklopača (Ćelije),1
2632,Naselje Mala Pruga,1
2630,Ugrinovački Put 26. Deo,1
2629,Ugrinovački Put 12. Deo,1
2628,Ugrinovački Put 12. Deo,1
2627,Epš Milutin Milanković,1
2626,Ljiljane Krstić,1
2625,Vinogradska (Surčin Naselje),1
2624,Vinogradska (Surčin Naselje),1
2623,Karaula,1
2622,Srednji Kraj,1
2621,Srednji Kraj,1
2620,Miodraga Vukovića,1
2619,Miodraga Vukovića,1
2618,Taborište,1
2617,Rasinska,1
2616,Oš Vladimir Rolović,1
2631,Ugrinovački Put 26. Deo,1
2633,Naselje Mala Pruga,1
1343,Balkan,1
2634,Umka - Centar,1
2649,Pukovnika Petra Mišića,1
2648,Generala Vladimira Kondića,1
2647,Generala Vladimira Kondića,1
2646,Generala Štefanika,1
2645,Generala Štefanika,1
2644,Naselje Stepa Stepanović,1
2643,Rucka /Okretnica/,1
2642,Rucka 4,1
2641,Rucka 4,1
2640,Rucka 3,1
2639,Rucka 3,1
2638,Rucka 2,1
2637,Rucka 2,1
2636,Rucka 1,1
2635,Rucka 1,1
2615,Radiofar,1
2614,Svetog Save,1
2613,Dom Garde,1
2612,Kosovke Devojke,1
2589,Surčin Naselje (Ulaz),1
2588,Surčin Naselje (Ulaz),1
2587,Silosi,1
2586,Silosi,1
2585,Kanal Galovica,1
2584,Kanal Galovica,1
2583,Mz Novi Surčin,1
2582,Mz Novi Surčin,1
2581,Go Surčin (Ulaz),1
2580,Go Surčin (Ulaz),1
2579,Vodeničarska,1
2578,Vodeničarska,1
2577,Mz Ledine,1
2576,Mz Ledine,1
2575,Vinogradska (Ulaz),1
2590,Ritska Ulica,1
2591,Ritska Ulica,1
2592,Dragomira Momčilovića,1
2605,Ševino Polje,1
2611,Nemanjina,1
2610,Nemanjina,1
2609,Koste Abraševića,1
2608,Koste Abraševića,1
2607,Miloša Crnjanskog,1
2606,Miloša Crnjanskog,1
2604,Ševino Polje,1
2593,Dragomira Momčilovića,1
2603,Ikarbus,1
2602,Ikarbus,1
2599,Topola,1
2598,Oš Jovan Sterija Popović,1
2597,Bulevar Crvene Armije,1
2594,Surčin (Centar),1
2650,Pukovnika Petra Mišića,1
2651,Timočke Divizije,1
2652,Timočke Divizije,1
2691,Zdravstvena St. Leštane I Vinča,1
2707,Pošta,1
2706,Pošta,1
2705,Leštane (Centar),1
2704,Leštane (Ravan),1
2703,Kremenje,1
2702,Kremenje,1
2701,Ravan (Ulaz),1
2700,Ravan (Ulaz),1
2811,6. Nova,1
2698,Oš Nikola Tesla,1
2697,Miodraga Pešića,1
2696,Miodraga Pešića,1
2695,Privredna Zona,1
2694,Privredna Zona,1
2693,Prvomajska,1
2708,Saveza Boraca,1
2709,Saveza Boraca,1
2710,Beli Potok /Naselje Kolonija/,1
2719,Pavićevac 1,1
2725,Borča 3,1
2724,Borča 3,1
2723,Dinarska,1
2722,Prnjavor /Škola/,1
2721,Pavićevac 3,1
2720,Pavićevac 3,1
2718,Pavićevac 1,1
2711,Beli Potok /Naselje Kolonija/,1
2717,Put Za Aluge,1
2716,Put Za Aluge,1
2715,Trešnja /Okretnica/,1
1344,Balkan,1
1345,Radiostanica,1
1346,Radiostanica,1
2692,Prvomajska,1
2690,Vinogradska (Plandište),1
2653,Oš Danilo Kiš,1
2689,Vinogradska (Plandište),1
2670,Miljakovačke Staze 2,1
2669,Miljakovačke Staze 2,1
2668,Miljakovačke Staze 1,1
2667,Miljakovačke Staze 1,1
2666,Miljakovac 3,1
2665,Miljakovački Izvori,1
1352,Sibnica,1
1353,Mz Reva /Mali Raj/,1
1355,Gilino Voće,1
2661,Polimark,1
2660,Polimark,1
2659,Privredna Zona (Izlaz),1
2656,Đurđevdan,1
2655,Đurđevdan,1
2654,Oš Danilo Kiš,1
1351,Sibnica,1
2672,Grmovac (20.Nova),1
2673,Grmovac (20.Nova),1
2682,Mz Ripanj,1
2688,Ripanj /Groblje/,1
2687,Put Za Nestoroviće,1
2686,Put Za Nestoroviće,1
2685,Put Za Kalajdžiće,1
2684,Put Za Kalajdžiće,1
2683,Mz Ripanj,1
1347,Naselje Ilić,1
1350,Deseti Kilometar,1
1348,Naselje Ilić,1
2679,Novo Naselje (Rušanj),1
2678,Put Za Ćumurane,1
2677,Put Za Ćumurane,1
1349,Deseti Kilometar,1
2675,Naučno-Tehnološki Park ,1
2810,6. Nova,1
2869,Šljivarska,1
2812,Institut Jaroslav Černi,1
3036,Cerska,1
3034,Rifata Burdževića,1
3033,Dragoljuba Stojanovića,1
3032,Kaluđerica (Višnjićeva),1
3031,Dragoljuba Stojanovića,1
3030,Rifata Burdževića,1
3029,Meše Selimovića,1
3028,Cerska,1
3027,Vojina Jugovića,1
1282,Veliki Kanal,1
3025,Brzačka,1
3024,Brzačka,1
3023,Žička,1
3022,Don Kihotova,1
3021,Park Ključ,1
3020,Jakovička Src ,1
3035,Meše Selimovića,1
3037,Vojina Jugovića,1
3055,Koste Trifkovića,1
3038,Kaluđerica (Put Za Institut),1
3053,Budmanijeva,1
3052,Deskaševa,1
3051,Deskaševa,1
3050,"Studenski Dom ""Rifat Burdžević""",1
3049,"Studenski Dom ""Rifat Burdžević""",1
3048,Oš Veljka Dugoševića,1
3047,Oš Veljko Dugošević,1
1280,Vuka Karadžića,1
3045,Mlavska,1
3044,Tc Zmaj,1
3043,Železnička Stanica Zemun,1
3042,Železnička Stanica Zemun,1
1281,Veliki Kanal,1
3040,Kalemegdan,1
3039,Cara Uroša,1
1283,Pumpa,1
3018,Muzej Savremene Umetnosti,1
3017,Muzej Savremene Umetnosti,1
1284,Pumpa,1
2989,Moračko Brdo,1
2988,Moračko Brdo,1
2987,Brestovačka,1
2986,Brestovačka,1
2985,8. Septembra,1
2984,8. Septembra,1
2983,Pašinac,1
2982,Pašinac,1
2981,Dr Aćima Medovića,1
2980,Dr Aćima Medovića,1
2977,Vojvode Vlahovića (Terminus),1
2976,Vojvode Vlahovića (Terminus),1
2975,Miljana Miljanića,1
2974,Mate Miloševića,1
2973,Oš Vladislava Petković,1
2990,Milorada Živkovića,1
2991,Milorada Živkovića,1
2992,Jove Mitrovića,1
3001,Narednika Dragutina Radakovića,1
1285,Crvenka,1
3014,Beograd Na Vodi,1
3005,Zvezdarskih Jelki,1
3004,Zvezdarskih Jelki,1
3003,Ntp Ulaz,1
3002,Ntp Ulaz,1
3000,Narednika Dragutina Radakovića,1
2993,Jove Mitrovića,1
2999,Veselina Čajkanovića,1
2998,Rušanj (Drobnjački Kraj),1
2997,Drobnjački Kraj 1,1
2996,Drobnjački Kraj 1,1
2995,Drobnjački Kraj 2,1
2994,Drobnjački Kraj 2,1
3054,Koste Trifkovića,1
3056,Ilidenska,1
2971,Milana Grigorijevića,1
3111,Ralja /Robna Kuća/,1
3109,Železnička Stanica Beograd Centar,1
1240,Blok 72,1
1239,Blok 72,1
3106,Mileševska,1
1231,Petrovčić,1
1263,Besni Fok,1
1264,Besni Fok,1
1265,Ambulanta,1
1266,Ambulanta,1
1267,Vodovodna Stanica,1
3099,Azil Za Pse,1
3098,Miodraga Bulatovića,1
3097,Rakovački Potok,1
3096,Azil Za Pse,1
1268,Vodovodna Stanica,1
3110,Železnička Stanica Beograd Centar,1
3112,Ralja /Robna Kuća/,1
3057,Ilidenska,1
3113,Barajevo - Centar,1
3128,Manastir,1
3127,Stara Lipovica - Okretnica,1
3126,Simić - R,1
3125,Simić - R,1
3124,Petkovići Raskrsnica,1
3123,Petkovići Raskrsnica,1
3122,Petkovići - Trafo,1
3121,Petkovići - Trafo,1
3120,Kuzmanovići R,1
3119,Kuzmanovići R,1
3118,Karaula R,1
3117,Barajevo As,1
3116,Barajevo (Miodraga Vukovića),1
3115,Barajevo (Miodraga Vukovića),1
3114,Barajevo - Centar,1
1269,Vrbovski (Ulaz),1
1270,Vrbovski (Ulaz),1
1271,Vrbovski,1
3091,Savski Trg,1
1276,Mihaila Bulgakova,1
1277,Branka Radičevića,1
1278,Branka Radičevića,1
1279,Vuka Karadžića,1
3068,Mirka Sandića,1
3067,Mirka Sandića,1
3066,Oš Stevan Sinđelić,1
3065,Oš Stevan Sinđelić,1
3064,Mihaila Todorovića,1
3063,Mihaila Todorovića,1
3062,Zeleno Brdo,1
3061,Zabrđanska,1
3060,Zabrđanska,1
3059,Lošinjnska Donja,1
3058,Lošinjska Donja,1
3073,Preka Kaldrma,1
3074,Džona Kenedija 1,1
3075,13.Oktobra,1
3084,Vareška,1
1272,Mihaila Bulgakova,1
1273,Sonje Marinković,1
1274,Valjevskog Odreda,1
3087,Trg Slavija,1
3086,Careva Ćuprija,1
3085,Careva Ćuprija,1
3083,Vareška,1
3076,13.Oktobra,1
1275,Trg Oslobođenja,1
3081,Studentski Trg,1
3080,Milorada Jankovića Doce,1
3079,Milorada Jankovića Doce,1
3078,Jna,1
3077,Boleč,1
2972,Vladimira Dvornikovića,1
2970,Barutana,1
1324,Progres,1
1309,Kovilovo 2,1
1311,Put Za Jabučki Rit,1
2864,Šljivarska,1
2863,Brdska,1
2862,Torlački Vis,1
2861,Olimpska,1
2860,Vukosave Oljače,1
2859,Donje Naselje,1
2858,Milutina Miljkovića,1
2857,Ane Dobeš,1
2856,Milke Bosnić,1
2855,Olge Jojić,1
2854,Timočki Put (Izlaz),1
2853,Timočki Put (Izlaz),1
2852,Put Za Zabran,1
2851,Put Za Zabran,1
1310,Kovilovo 2,1
1308,Kovilovo 1,1
1307,Kovilovo 1,1
2573,Žikina (Prilaz),1
2884,Timočki Put 1.Deo,1
2883,Trebež (Okretnica),1
2882,29.Novembra,1
2881,29.Novembra,1
2880,Timočki Put,1
2879,Timočki Put,1
2878,Olge Jojić,1
2877,Milke Bosnić,1
2876,Ane Dobeš,1
2875,Milutina Miljkovića,1
2874,Donje Naselje,1
2873,Vukosave Oljače,1
2872,Olimpska,1
2871,Torlački Vis,1
2870,Brdska,1
2850,Palanački Potok,1
2849,Palanački Potok,1
2848,Oklisak - Trafo,1
2847,Oklisak - Trafo,1
2828,Živojina Tabakovića (Srednji Kraj),1
2827,Živojina Tabakovića (Srednji Kraj),1
2826,Fk Moštanica,1
2825,Fk Moštanica,1
2824,Tranšped,1
2823,Astrid Lindgren,1
2822,Ikea,1
2821,Vladimira Tomanovića,1
1320,Radenska Bara,1
2819,Epš Milutin Milanković,1
1321,Mašinski Park,1
1322,Mašinski Park,1
2816,Bečmen (Izlaz),1
2815,Bečmen (Izlaz),1
1323,Jabučki Rit,1
1319,Radenska Bara,1
2830,Edvarada Griga (Ulaz),1
1318,Stari Aerodrom,1
1312,Put Za Jabučki Rit,1
2846,Timočki Put (Srednji Deo),1
2845,Timočki Put (Srednji Deo),1
2844,Livadice,1
2843,Livadice,1
2842,Timočki Put 2. Deo,1
2841,Timočki Put 2. Deo,1
1313,Štale Pkb,1
1317,Stari Aerodrom,1
1314,Štale Pkb,1
1315,Glogonjski Rit,1
2836,Moštanička (Novo Naselje),1
2835,Moštanička (Novo Naselje),1
2834,Velika Moštanica (Živojina Tabakovića),1
1316,Glogonjski Rit,1
2885,Timočki Put 1.Deo,1
2888,Resnik (Železnička Pruga),1
2969,Bilce,1
2950,Susedgradska,1
2948,Bože Jeremića,1
2947,Bože Jeremića,1
2946,Sretena Mladenovića Mike,1
44,Dinarska,1
2942,Pinosava,1
2941,Donji Kraj,1
2940,Donji Kraj,1
53,Tašmajdan /Park/,1
1300,Stanićeva,1
2932,Petlja Radnička,1
1305,Zrenjaninski Put,1
2930,Živka Davidovića,1
2929,Živka Davidovića,1
2928,Medaković 2,1
2927,Španskih Boraca,1
2949,Susedgradska,1
2951,Vidikovačka,1
2889,Resnik (Železnička Pruga),1
2952,Resnički Put,1
2968,Mitkov Kladenac,1
2967,Mitkov Kladenac (Izlaz),1
2966,Stražarska Kosa ,1
2965,Gaj,1
2964,Jovijanova,1
2963,Novo Naselje,1
2962,Vladimira Ćorovića (Ulaz),1
2961,Lepenskog Vira,1
2960,Mz Vml,1
2959,Branislava Jovanovića,1
2957,Trg Slavija,1
2956,Jerusalimska,1
2955,Orlovac,1
2954,Orlovac,1
2953,Resnički Put,1
2926,Katice Opačić 1,1
2925,Miljakovac 3,1
2924,Železnička Stanica Topčider,1
2923,Vrtić,1
2904,Novobeogradskih Graditelja,1
2903,Staro Kijevo,1
2902,Fudbalsko Igralište,1
2901,Fudbalsko Igralište,1
2900,Železnički Most,1
2899,Železnički Most,1
2898,Proleterska (Ulaz),1
2897,Proleterska (Ulaz),1
2896,Letićeva,1
2895,Letićeva,1
2894,Resnik (Patin Majdan),1
2893,Nova 3 - Prilaz,1
2892,Nova 3 - Prilaz,1
2891,Delovi - Prilaz,1
2890,Delovi - Prilaz,1
2905,Novobeogradskih Graditelja,1
2906,Stepenice,1
2907,Stepenice,1
2916,Ličkih Brigada,1
2922,Vrtić,1
2921,Braće Jeremića,1
2920,Braće Jeremića,1
2919,Rađevska,1
2918,Rađevska,1
2917,Ličkih Brigada,1
2915,Nemanjina 1,1
2908,Topčiderska Reka - Prilaz,1
2914,Nemanjina 2,1
2913,Kralja Petra I,1
2912,Vasilija Ostroškog,1
2911,Milana Konjovića ,1
2910,Patrijarha Pavla,1
2909,Topčiderska Reka - Prilaz,1
2574,Vinogradska (Ulaz),1
2463,Šumsko Gazdinstvo,1
2572,Žikina (Prilaz),1
2065,Vinogradski Venac,1
419,Omladinskih Brigada 1,1
2073,Široka Greda,1
432,13. Maj /Ulaz/,1
2068,Cerski Venac,1
2067,Cerski Venac,1
2066,Vinogradski Venac,1
2064,Vrtić Plava Ptica,1
2051,Slovačko Groblje,1
2063,Vrtić Plava Ptica,1
2062,Kosmajska,1
1643,Vidikovac,1
806,Kosmajska,1
2055,Mostogradnja,1
2054,Mike Alasa,1
2078,Prilivak,1
2079,Prilivak,1
848,Resnik /Ulaz/,1
867,Bulevar Peka Dapčevića,1
2083,Bore Stankovića,1
2084,Bore Stankovića,1
2085,Druga Nova,1
2086,Druga Nova,1
2088,Mz Jakovo,1
868,Bulevar Peka Dapčevića,1
2097,Braće Srnić,1
2098,Braće Srnić,1
2099,Mostogradnja,1
2104,Nadvožnjak,1
2105,Nadvožnjak,1
2106,Dom Zdravlja,1
1609,Ivo Lola Ribar,1
1647,Grmovac /Ulaz/,1
2050,Slovačko Groblje,1
2112,Crkva,1
2015,Živača /Izlaz/,1
458,Cvijićeva,1
2020,Progar /Centar/,1
2019,Progar /Ulaz/,1
2018,Progar /Ulaz/,1
2017,Bojčinska Šuma,1
2016,Bojčinska Šuma,1
2014,Živača /Izlaz/,1
1648,Put Za Dunavac,1
2013,Živača Ribnjak,1
2012,Živača Ribnjak,1
2011,Boljevci /Izlaz/,1
2010,Boljevci /Izlaz/,1
2009,Boljevci /Centar/,1
2008,Boljevci /Centar/,1
2023,Stari Vinogradi,1
2025,Buljubašine Vode,1
2027,Veliki Mokri Lug,1
2029,Medaković 3,1
2030,Vikend Naselje 1,1
2031,Vikend Naselje 1,1
457,Peta Ekonomska,1
456,Karaburma 2,1
2034,Zmaj Ognjenog Vuka,1
2035,Zmaj Ognjenog Vuka,1
454,Učiteljsko Naselje,1
453,Učiteljsko Naselje,1
452,Budvanska,1
451,Budvanska,1
450,Rudo,1
449,Rudo,1
1649,Grmovac /Ulaz/,1
2111,Crkva,1
2113,Ljube Rankovića,1
2213,Petrovića Brdo,1
2176,Petrovića Brdo,1
2182,Žarkovačka,1
2181,Petra Martinovića,1
2180,Naselje Golf,1
2179,Kneza Višeslava,1
2178,Stovarište,1
2177,Stovarište,1
2175,Milorada Ćirića,1
2167,Vodovod,1
300,Karaburma 2,1
933,Umka - Karađorđeva,1
341,Antifašističke Borbe,1
932,Umka - Izlaz,1
345,Konjarnik,1
925,Umka - Centar,1
2183,Kraljice Katarine,1
2184,Vrtić Košuta,1
2185,Mile Jevtović,1
2190,Glumčevo Brdo 1,1
2192,Veliki Mokri Lug (Izlaz),1
2195,Mz Kumodraž,1
967,Jkp Zelenilo Beograd,1
1549,Crkva,1
989,Hotel Nacional,1
2200,Veliki Mokri Lug (Ulaz),1
2201,Zvezdara,1
990,Hotel Nacional,1
991,Jkp Zelenilo Beograd,1
994,Cvijićeva,1
1005,Aerodrom Nikola Tesla,1
282,Prilaz,1
275,Sremčica,1
2168,Vodovod,1
2166,Taložnik,1
2114,Ljube Rankovića,1
906,Vijadukt,1
2133,Stari Železnik,1
2132,Trafostanica,1
2131,Trafostanica,1
2130,Gradine,1
2129,Gradine,1
907,Usek,1
905,Vijadukt,1
2165,Taložnik,1
2125,Bitoljska,1
2123,Beli Potok,1
895,Kosmajska,1
893,Zeleni Venac,1
891,Ljubice Ivošević,1
889,Šavnička,1
908,Usek,1
1592,Padinska Skela 1,1
909,Petlovo Brdo,1
910,Petlovo Brdo,1
911,Dorćol /Src Milan Gale Muškatirović/,1
2139,Školsko Dobro,1
2142,Volgina,1
2143,Volgina,1
391,Zemun /Gornji Grad/,1
2150,Rasinska,1
2151,Jedanaeste Krajiške Divizije,1
2152,Železnik /Tariš/,1
922,Privredna Zona Makiš,1
2159,Pkb Kovilovo,1
2162,Oš Vladimir Rolović,1
2163,Reni Bunar,1
2164,Reni Bunar,1
2007,Relje Oparušića,1
2006,Relje Oparušića,1
2005,Ribarska,1
1857,Velika Moštanica - M,1
1864,Kolonija,1
1863,Kolonija,1
696,Mirijevo 3,1
684,Železnička Stanica Dunav,1
682,Klanički Kej,1
681,Klanički Kej,1
680,Viline Vode,1
1846,Novi Beograd /Blok 72/,1
679,Viline Vode,1
678,Knežopoljska,1
677,Knežopoljska,1
676,Tempo,1
1850,13. Maj,1
1849,Josipa Telarevića,1
1865,"Src ""Surčin"" /Ulaz/",1
1866,Mali Trafo,1
1867,Matice Srpske,1
1868,Matice Srpske,1
1869,Privredna Zona Makiš,1
1870,Veliki Trafo,1
1871,Radovanovićevo,1
1872,Blok 63,1
1873,Blok 63,1
1874,Lipovačka,1
1876,Mike Alasa,1
710,Vatrosprem,1
711,Vatrosprem,1
1879,Baza Voždovac,1
1880,Stanićeva,1
712,Cvetna,1
713,Kumodraž 1,1
1848,Mali Trafo,1
1845,Privredna Zona (Ulaz),1
2004,Ribarska,1
596,Mirijevo,1
613,Medaković 2,1
612,Umljenovićeva,1
611,Umljenovićeva,1
610,Katarine Ivanović,1
609,Katarine Ivanović,1
571,Nedeljka Gvozdenovića,1
1804,Petrovčić,1
1844,Svetozara Papića,1
1803,Petrovčić /Centar/,1
1802,Petrovčić /Centar/,1
1801,Petrovčić /Ulaz/,1
1800,Petrovčić /Ulaz/,1
1799,Bečmen Ekonomija,1
1798,Bečmen Ekonomija,1
614,Medaković 2,1
616,Mz Makiš,1
1820,Radovanovićevo,1
1821,Veliki Trafo,1
1822,Busije,1
617,Mz Makiš,1
1824,Busije 2,1
1825,Busije 2,1
652,Src Makiš,1
1828,Grobljanska,1
1829,Grobljanska,1
662,Šesti Prilaz,1
674,Žel. St. Dunav -Okretnica,1
675,Luka Beograd,1
1841,Milice Šuvaković,1
1842,Milice Šuvaković,1
1843,Svetozara Papića,1
720,Šolina,1
721,Šolina,1
1730,Src Surčin,1
1976,Glumčevo Brdo /Gorčinac/,1
1986,Zuce /Prodavnica/,1
1985,Zuce /Prodavnica/,1
1984,Zuce (Ulaz),1
1983,Zuce (Ulaz),1
1982,Put Za Zuce,1
1981,Put Za Zuce,1
798,Dušana Radovića,1
1729,Rasadnik,1
797,Dušana Radovića,1
1671,Crkva,1
796,Zvezdara,1
1678,Src  Surčin (Ulaz),1
1685,Put Za Dunavac,1
502,Tašmajdan,1
1987,Zuce /Ambulanta/,1
1988,Zuce /Ambulanta/,1
1989,Zuce /Centar/,1
1990,Zuce /Centar/,1
1991,Zuce /Crkva/,1
1992,Zuce /Crkva/,1
1993,Zuce /Brđani 1/,1
1994,Zuce /Brđani 1/,1
1995,Zuce /Brđani 2/,1
1996,Zuce /Brđani 2/,1
1997,Zuce,1
1998,Jakovo Čelik,1
1999,Jakovo Čelik,1
2000,Boljevci /Zapis/,1
2001,Boljevci /Zapis/,1
2002,Šest Topola,1
2003,Šest Topola,1
503,Tašmajdan,1
504,Cvetni Trg,1
1692,Dunavac,1
1915,Seme,1
1887,Centroprom,1
1889,Mz Železnik,1
1890,Mz Železnik,1
1892,V. Moštanica - Ekonom.,1
1893,V. Moštanica - Crkva,1
724,Dedinje /Ortopedska Bolnica/,1
725,Dedinje /Ortopedska Bolnica/,1
726,Šesti Prilaz,1
1902,Pećani /Škola/,1
1903,Blagoja Rankovića,1
1904,Umka - Karađorđeva,1
1905,Umka-Izlaz,1
518,Zemun (Novi Grad),1
1914,Seme,1
1916,Beogradelektro,1
1693,Studentski Grad,1
1917,Beogradelektro,1
1918,Jugolek,1
1919,Jugolek,1
1922,Makiška,1
1923,Makiška,1
1924,Mz Makiš,1
514,Src Makiš,1
511,Neimar,1
510,Internacionalnih Brigada,1
1932,Garaža Novi Beograd,1
1938,Đure Gajića,1
507,Smiljanićeva,1
506,Smiljanićeva,1
505,Cvetni Trg,1
1531,Zvezdara /Pijaca/,1
2214,Okretnica /Česma/,1
2571,Pećani (Groblje),1
2451,Pivljanina Baje 1,1
2460,Karagačka,1
2459,Karagačka,1
1151,Nedeljka Gvozdenovića,1
1138,Batajnica /Železnička Rampa/,1
1136,Batajnica (Centar),1
1093,Naselje Mileva Marić Ajnštajn,1
2450,Ralja /Trafo/,1
2441,Abebe Bikila,1
1091,Koste Živkovića,1
1090,Hasanaginica,1
1089,Naselje Mileva Marić Ajnštajn,1
2445,Altina,1
2444,Viktora Starčića,1
2443,Pavla Vujisića,1
2461,Bečmen /Zabran/,1
2462,Bečmen /Zabran/,1
1797,Bečmenskih Ilegalaca,1
2464,Šumsko Gazdinstvo,1
2467,Trešnja (Škola),1
2468,Trešnja /Koviona/,1
1158,Dom Penzionera,1
1164,Raška Dimitrijevića,1
1165,Raška Dimitrijevića,1
1166,Vojvođanska,1
1168,V. Moštanica - Ekonom.,1
1169,Vojvođanska,1
2477,Kasarna /Glavni Ulaz/,1
2478,Kasarna /Glavni Ulaz/,1
2479,13.Oktobra,1
2480,13.Oktobra,1
2481,Livnica,1
2442,Zire Adamović,1
2440,Dobanovački Put,1
2483,Ralja /Centar/,1
2415,Mile Jevtović,1
2421,Grmovac /Crkva/,1
2420,Grmovac,1
2419,Grmovac,1
1068,Jurija Gagarina,1
2417,Bulevar Peka Dapčevića,1
2416,Bulevar Peka Dapčevića,1
2414,Vrtić Bajka,1
1081,V. Moštanica - Crkva,1
2413,Preka Kaldrma,1
1067,Zeleni Venac,1
193,Rimska,1
2406,Naučno-Tehnološki Park ,1
2405,"Oš ""1300 Kaplara""",1
196,Marčanska,1
2422,Grmovac /Crkva/,1
2423,Stanka Koraća,1
2424,Trandafila Duke,1
2425,Sekule Vitkovića,1
2426,Dr Laze Kostića,1
2427,Stefana Kneževica,1
1069,Jurija Gagarina,1
2429,Aerodrom Batajnica,1
1070,Blok 70 -Okretnica,1
2431,Go Vračar,1
2432,Go Vračar,1
1071,Blok 70,1
2434,Oficirska Kolonija,1
2435,Oficirska Kolonija,1
2436,Moma Stanojlović,1
2437,Moma Stanojlović,1
1080,Pećani /Škola/,1
2482,Livnica,1
2484,Ralja /Centar/,1
2215,Oš Karađorđe,1
2544,Glumčevo Brdo /Škola/,1
2550,Vojvode Vlahovića,1
2549,Vojvode Vlahovića 1,1
2548,Vojvode Vlahovića 1,1
2547,Vojvode Vlahovića,1
2546,Nenadovac 6,1
2545,Žikice Jovanovića,1
2543,Stevančevića Kraj,1
2535,Nenadovac 2,1
2542,Glumčevo Brdo 3,1
2541,Glumčevo Brdo 2,1
2540,Taborište,1
2539,Nenadovac,1
2538,Nenadovac 5,1
2537,Nenadovac 4,1
2551,Vojvode Vlahovića 2,1
2553,Boljevci (Ribolovački Klub),1
