,route_short_name,stop_name,average_wait
14054,74,Vii Beogradska Gimnazija,0:10:09.622642
14055,25P,Vii Beogradska Gimnazija,0:14:49.315068
14060,3A,Košutnjak,0:10:10.088496
14063,3A,Železnička Stanica Topčider,0:10:10.088496
14066,3A,Miška Kranjca,0:10:10.088496
14069,3A,Patrijarha Pavla,0:10:10.088496
14072,3A,Topčiderska Okretnica,0:10:10.088496
14075,74,Mirijevo,0:10:10.188679
14076,25P,Mirijevo,0:14:49.315068
14081,74,Pogon Karaburma,0:10:10.188679
14082,25P,Pogon Karaburma,0:14:48.493151
14087,74,Ladne Vode,0:10:10.188679
14088,25P,Ladne Vode,0:14:49.315068
14093,74,Sup Palilula,0:10:10.458716
14094,32,Sup Palilula,0:10:11.150442
14095,25,Sup Palilula,0:11:05.046729
14100,25P,Sup Palilula,0:15:19.436620
14105,202,Sup Palilula,0:26:08.372093
14108,74,Servisi,0:10:10.458716
14111,66,Servisi,0:19:38.666667
14114,74,"Vmc ""Karaburma""",0:10:10.458716
14119,66,"Vmc ""Karaburma""",0:19:42.666667
14120,21A,Dr Velizara Kosanovića,0:10:10.526316
14123,20,Dr Velizara Kosanovića,0:22:36.734694
14126,21A,Rimska,0:10:10.526316
14129,20,Rimska,0:22:36.734694
14132,52,Šavnička,0:10:10.714286
14135,52,Bitoljska,0:10:10.714286
14138,52,Cerski Venac,0:10:10.714286
14141,52,Vrtić Plava Ptica,0:10:10.714286
14144,52,Zeleni Venac,0:10:10.714286
14147,52,Vinogradski Venac,0:10:10.714286
14150,52,Cerak Vinogradi,0:10:10.714286
14153,534,Cerak Vinogradi,0:25:40.909091
14156,52,Ljubice Ivošević,0:10:10.714286
14159,52,Kosmajska,0:10:10.714286
14162,74,Pogon Karaburma,0:10:11.009174
14164,25P,Pogon Karaburma,0:15:29.166667
14168,EKO2,Kneza Miloša,0:10:11.067961
14169,78,Kneza Miloša,0:10:54
14171,83,Kneza Miloša,0:11:46.451613
14177,36,Kneza Miloša,0:21:57.647059
14181,E1,Kneza Miloša,0:29:00
14182,39,Junska,0:10:11.320755
14183,25,Junska,0:11:10.754717
14186,25P,Junska,0:15:04.800000
14191,39,Voždovački Kružni Put,0:10:11.320755
14192,25,Voždovački Kružni Put,0:11:11.320755
14195,25P,Voždovački Kružni Put,0:14:54.324324
14200,39,Dušana Jovanovića ,0:10:11.320755
14201,25,Dušana Jovanovića ,0:11:11.320755
14204,25P,Dušana Jovanovića ,0:14:53.513514
14209,39,Bulevar Peka Dapčevića,0:10:11.320755
14212,39,Trg Slavija /Tiršova/,0:10:11.320755
14213,42,Trg Slavija /Tiršova/,0:13:00
14216,30,Trg Slavija /Tiršova/,0:17:34.838710
14221,39,Vatrosprem,0:10:11.320755
14224,39,Kumodraž 2,0:10:11.320755
14225,25,Kumodraž 2,0:11:10.754717
14228,25P,Kumodraž 2,0:15:04.800000
14233,39,Pukovnika Petra Mišića,0:10:11.320755
14234,25,Pukovnika Petra Mišića,0:11:11.320755
14237,25P,Pukovnika Petra Mišića,0:14:53.513514
14242,39,Preduzeće Petar Velebit,0:10:11.320755
14243,25,Preduzeće Petar Velebit,0:11:11.320755
14246,25P,Preduzeće Petar Velebit,0:14:53.513514
14251,39,Preduzeće Izolacija,0:10:11.320755
14252,25,Preduzeće Izolacija,0:11:11.320755
14255,25P,Preduzeće Izolacija,0:14:54.324324
14260,39,Put Za Kumodraško Groblje,0:10:11.320755
14261,25,Put Za Kumodraško Groblje,0:11:11.320755
14264,25P,Put Za Kumodraško Groblje,0:14:53.513514
14269,EKO2,Kneza Miloša,0:10:11.650485
14270,78,Kneza Miloša,0:10:35.757576
14271,83,Kneza Miloša,0:11:21.702128
14279,36,Kneza Miloša,0:21:57.647059
14282,E1,Kneza Miloša,0:29:00
14283,EKO2,Trg Slavija /Nemanjina/,0:10:11.650485
14284,78,Trg Slavija /Nemanjina/,0:10:35.757576
14285,83,Trg Slavija /Nemanjina/,0:11:21.702128
14292,36,Trg Slavija /Nemanjina/,0:21:57.647059
14295,E1,Trg Slavija /Nemanjina/,0:29:00
14297,EKO2,Trg Slavija /Nemanjina/,0:10:11.650485
14298,78,Trg Slavija /Nemanjina/,0:10:54
14300,83,Trg Slavija /Nemanjina/,0:11:45.806452
14307,36,Trg Slavija /Nemanjina/,0:21:57.647059
14309,E1,Trg Slavija /Nemanjina/,0:29:00
14311,32,Marina,0:10:12.212389
14314,32E,Marina,0:31:11.111111
14315,601,Surčin,0:10:12.545455
14319,607,Surčin,1:31:52.500000
14321,75,Studentska,0:10:12.660550
14324,77,Studentska,0:13:51.315789
14327,82,Studentska,0:17:49.354839
14330,708,Studentska,0:23:45.652174
14333,72,Studentska,0:31:01.578947
14336,76,Studentska,0:47:53.333333
14339,32,Višnjička Banja,0:10:12.743363
14342,32E,Višnjička Banja,0:31:08.888889
14343,32,Lovačka,0:10:12.743363
14346,32E,Lovačka,0:31:06.666667
14347,32,Fk Banja,0:10:12.743363
14350,32E,Fk Banja,0:31:08.888889
14351,32,Despotovačka,0:10:12.743363
14354,32E,Despotovačka,0:31:08.888889
14355,74,Marijane Gregoran,0:10:13.090909
14357,25P,Marijane Gregoran,0:15:29.166667
14361,74,Mirijevo,0:10:13.090909
14363,25P,Mirijevo,0:15:29.166667
14367,74,Mirijevsko Brdo,0:10:13.090909
14369,25P,Mirijevsko Brdo,0:15:29.166667
14373,74,Pere Ćetkovića,0:10:13.090909
14375,25P,Pere Ćetkovića,0:15:29.166667
14379,32,Višnjica,0:10:13.274336
14382,32E,Višnjica,0:31:06.666667
14383,74,"Vmc ""Karaburma""",0:10:13.457944
14387,66,"Vmc ""Karaburma""",0:19:33.333333
14389,74,Servisi,0:10:13.457944
14394,66,Servisi,0:19:33.333333
14395,74,Vii Beogradska Gimnazija,0:10:13.636364
14397,25P,Vii Beogradska Gimnazija,0:15:29.166667
14401,74,Vitezova Karađorđeve Zvezde,0:10:13.636364
14403,25P,Vitezova Karađorđeve Zvezde,0:15:29.166667
14407,74,Šejkina,0:10:13.636364
14409,25P,Šejkina,0:15:30
14413,74,Ladne Vode,0:10:13.636364
14415,25P,Ladne Vode,0:15:29.166667
14419,EKO2,Savski Trg,0:10:14.423077
14420,78,Savski Trg,0:10:54
14422,83,Savski Trg,0:11:45.806452
14429,36,Savski Trg,0:22:18.461538
14431,E1,Savski Trg,0:29:00
14433,EKO2,Beograd Na Vodi,0:10:14.423077
14434,601,Beograd Na Vodi,0:10:28.947368
14439,EKO2,Dorćol /Src Milan Gale Muškatirović/,0:10:14.423077
14440,79,Dorćol /Src Milan Gale Muškatirović/,0:12:36.976744
14443,24,Dorćol /Src Milan Gale Muškatirović/,0:13:23.571429
14448,EKO2,Solunska,0:10:14.423077
14451,EKO2,Cara Uroša,0:10:14.423077
14454,601,Vikend Naselje,0:10:15.135135
14455,610,Vikend Naselje,0:17:27.761194
14458,604,Vikend Naselje,0:20:15.789474
14459,605,Vikend Naselje,0:22:36.923077
14460,603,Vikend Naselje,0:23:09.795918
14465,72,Vikend Naselje,0:31:00
14472,601,Galovica,0:10:15.135135
14473,610,Galovica,0:17:16.363636
14476,604,Galovica,0:20:15.789474
14477,605,Galovica,0:22:38.076923
14478,603,Galovica,0:23:09.795918
14488,607,Galovica,1:31:52.500000
14490,531,13. Septembar,0:10:15.535714
14493,601,Malinjak,0:10:15.675676
14494,610,Malinjak,0:17:26.865672
14497,604,Malinjak,0:20:15.789474
14498,605,Malinjak,0:22:36.923077
14499,603,Malinjak,0:23:09.795918
14509,607,Malinjak,1:31:52.500000
14511,601,Marka Raba,0:10:15.675676
14512,610,Marka Raba,0:17:16.363636
14515,604,Marka Raba,0:20:15.789474
14516,605,Marka Raba,0:22:36.923077
14517,603,Marka Raba,0:23:09.795918
14527,607,Marka Raba,1:31:52.500000
14529,601,Braće Nikolić,0:10:15.675676
14530,610,Braće Nikolić,0:17:16.363636
14533,604,Braće Nikolić,0:20:15.789474
14534,605,Braće Nikolić,0:22:17.647059
14537,602,Braće Nikolić,0:28:27.692308
14545,607,Braće Nikolić,1:31:52.500000
14547,601,Surčin /Ulaz/,0:10:15.675676
14548,610,Surčin /Ulaz/,0:17:16.363636
14551,604,Surčin /Ulaz/,0:20:15.789474
14552,605,Surčin /Ulaz/,0:22:36.923077
14553,603,Surčin /Ulaz/,0:23:09.795918
14563,607,Surčin /Ulaz/,1:31:52.500000
14565,601,Orešac,0:10:15.675676
14566,610,Orešac,0:17:16.363636
14569,604,Orešac,0:20:15.789474
14570,605,Orešac,0:22:38.076923
14571,603,Orešac,0:23:09.795918
14581,607,Orešac,1:31:52.500000
14583,601,Crkva,0:10:15.675676
14584,610,Crkva,0:17:16.363636
14587,604,Crkva,0:20:15.789474
14588,605,Crkva,0:22:36.923077
14589,603,Crkva,0:23:09.795918
14599,607,Crkva,1:31:52.500000
14601,601,Krušedolska,0:10:15.675676
14602,610,Krušedolska,0:17:16.363636
14605,604,Krušedolska,0:20:15.789474
14606,605,Krušedolska,0:22:38.076923
14609,602,Krušedolska,0:28:26.153846
14617,607,Krušedolska,1:31:52.500000
14619,601,Skopljanska,0:10:15.675676
14620,610,Skopljanska,0:17:16.363636
14623,604,Skopljanska,0:20:15.789474
14624,605,Skopljanska,0:22:38.076923
14625,603,Skopljanska,0:23:09.795918
14635,607,Skopljanska,1:31:52.500000
14637,3A,Beograd Na Vodi,0:10:15.789474
14640,551,Beograd Na Vodi,0:18:00
14643,92,Beograd Na Vodi,0:26:05.853659
14646,91,Beograd Na Vodi,0:26:25.714286
14649,553,Beograd Na Vodi,0:45:27.272727
14652,3A,Careva Ćuprija,0:10:15.789474
14655,3A,Topčiderski Park,0:10:15.789474
14658,74,Beogradska Arena,0:10:16.111111
14662,70,Beogradska Arena,0:25:17.142857
14664,601,Surčin /Mlin/,0:10:16.216216
14665,610,Surčin /Mlin/,0:17:16.363636
14668,604,Surčin /Mlin/,0:20:15.789474
14669,605,Surčin /Mlin/,0:22:38.076923
14672,602,Surčin /Mlin/,0:28:26.153846
14680,607,Surčin /Mlin/,1:31:52.500000
14682,601,Surčin /Centar/,0:10:16.216216
14683,610,Surčin /Centar/,0:17:16.363636
14686,604,Surčin /Centar/,0:20:15.789474
14687,605,Surčin /Centar/,0:22:38.076923
