,route_short_name,stop_name,service_id,average_wait
11074,68,Beogradska Arena,Zimski-Radni Dan,0:25:31.500000
11075,68,Beogradska Arena,Zimski-Subota,0:29:10.285714
11076,68,Beogradska Arena,Zimski-Nedelja,0:29:10.285714
11077,27E,Omladinski Stadion,Zimski-Radni Dan,0:07:54.929577
11078,27E,Omladinski Stadion,Zimski-Subota,0:09:31.282051
11079,27E,Omladinski Stadion,Zimski-Nedelja,0:10:34.285714
11080,E6,Omladinski Stadion,Zimski-Subota,0:19:33.913043
11081,E6,Omladinski Stadion,Zimski-Radni Dan,0:19:33.913043
11082,17,Konjarnik,Zimski-Radni Dan,0:07:55.510204
11083,17,Konjarnik,Zimski-Subota,0:08:51.297710
11084,17,Konjarnik,Zimski-Nedelja,0:08:59.534884
11085,15,Rada Končara,Zimski-Subota,0:07:57.551020
11086,15,Rada Končara,Zimski-Radni Dan,0:07:57.551020
11087,18,Rada Končara,Zimski-Radni Dan,0:08:24.347826
11088,15,Rada Končara,Zimski-Nedelja,0:09:17.142857
11089,18,Rada Končara,Zimski-Subota,0:10:32.181818
11090,78,Rada Končara,Zimski-Radni Dan,0:10:54
11091,18,Rada Končara,Zimski-Nedelja,0:11:39.393939
11092,78,Rada Končara,Zimski-Subota,0:16:42.295082
11093,78,Rada Končara,Zimski-Nedelja,0:17:52.631579
11094,15,Prilaz,Zimski-Radni Dan,0:07:57.551020
11095,15,Prilaz,Zimski-Subota,0:07:57.551020
11096,15,Prilaz,Zimski-Nedelja,0:09:17.142857
11097,15,Branko Plećaš,Zimski-Radni Dan,0:07:57.551020
11098,15,Branko Plećaš,Zimski-Subota,0:07:57.551020
11099,15,Branko Plećaš,Zimski-Nedelja,0:09:17.142857
11100,78,Branko Plećaš,Zimski-Radni Dan,0:10:54
11101,78,Branko Plećaš,Zimski-Subota,0:16:43.278689
11102,78,Branko Plećaš,Zimski-Nedelja,0:17:53.684211
11103,15,Vojni Put,Zimski-Subota,0:07:57.551020
11104,15,Vojni Put,Zimski-Radni Dan,0:07:57.551020
11105,15,Vojni Put,Zimski-Nedelja,0:09:17.142857
11106,78,Vojni Put,Zimski-Radni Dan,0:10:54
11107,78,Vojni Put,Zimski-Subota,0:16:43.278689
11108,78,Vojni Put,Zimski-Nedelja,0:17:53.684211
11109,15,Prvomajska,Zimski-Subota,0:07:57.551020
11110,15,Prvomajska,Zimski-Radni Dan,0:07:57.551020
11111,15,Prvomajska,Zimski-Nedelja,0:09:17.142857
11112,78,Prvomajska,Zimski-Radni Dan,0:10:54
11113,78,Prvomajska,Zimski-Subota,0:16:43.278689
11114,78,Prvomajska,Zimski-Nedelja,0:17:53.684211
11115,15,Zlatiborska,Zimski-Radni Dan,0:07:57.551020
11116,15,Zlatiborska,Zimski-Subota,0:07:57.551020
11117,18,Zlatiborska,Zimski-Radni Dan,0:08:24.347826
11118,15,Zlatiborska,Zimski-Nedelja,0:09:17.142857
11119,18,Zlatiborska,Zimski-Subota,0:10:32.181818
11120,78,Zlatiborska,Zimski-Radni Dan,0:10:54
11121,18,Zlatiborska,Zimski-Nedelja,0:11:39.393939
11122,78,Zlatiborska,Zimski-Subota,0:16:42.295082
11123,78,Zlatiborska,Zimski-Nedelja,0:17:52.631579
11124,15,Bosanska,Zimski-Radni Dan,0:07:57.551020
11125,15,Bosanska,Zimski-Subota,0:07:57.551020
11126,18,Bosanska,Zimski-Radni Dan,0:08:24.347826
11127,15,Bosanska,Zimski-Nedelja,0:09:17.142857
11128,18,Bosanska,Zimski-Subota,0:10:32.181818
11129,78,Bosanska,Zimski-Radni Dan,0:10:54
11130,18,Bosanska,Zimski-Nedelja,0:11:39.393939
11131,78,Bosanska,Zimski-Subota,0:16:43.278689
11132,78,Bosanska,Zimski-Nedelja,0:17:53.684211
11133,27E,Aleksandra Belića,Zimski-Radni Dan,0:07:58.321678
11134,27E,Aleksandra Belića,Zimski-Subota,0:09:39.661017
11135,27E,Aleksandra Belića,Zimski-Nedelja,0:10:45.283019
11136,79,Aleksandra Belića,Zimski-Radni Dan,0:12:36.818182
11137,25P,Aleksandra Belića,Zimski-Radni Dan,0:15:29.166667
11138,79,Aleksandra Belića,Zimski-Nedelja,0:17:20.625000
11139,79,Aleksandra Belića,Zimski-Subota,0:17:20.625000
11140,25P,Aleksandra Belića,Zimski-Subota,0:17:54.193548
11141,E6,Aleksandra Belića,Zimski-Subota,0:19:33.913043
11142,E6,Aleksandra Belića,Zimski-Radni Dan,0:19:33.913043
11143,25P,Aleksandra Belića,Zimski-Nedelja,0:22:12
11144,27E,Mirijevo 4,Zimski-Radni Dan,0:07:58.321678
11145,27E,Mirijevo 4,Zimski-Subota,0:09:39.661017
11146,27E,Mirijevo 4,Zimski-Nedelja,0:10:45.283019
11147,79,Mirijevo 4,Zimski-Radni Dan,0:12:36.818182
11148,25P,Mirijevo 4,Zimski-Radni Dan,0:15:29.166667
11149,79,Mirijevo 4,Zimski-Subota,0:17:20.625000
11150,79,Mirijevo 4,Zimski-Nedelja,0:17:20.625000
11151,25P,Mirijevo 4,Zimski-Subota,0:17:54.193548
11152,E6,Mirijevo 4,Zimski-Radni Dan,0:19:33.913043
11153,E6,Mirijevo 4,Zimski-Subota,0:19:33.913043
11154,25P,Mirijevo 4,Zimski-Nedelja,0:22:12
11155,27E,Matice Srpske,Zimski-Radni Dan,0:07:58.321678
11156,27E,Matice Srpske,Zimski-Subota,0:09:40.169492
11157,74,Matice Srpske,Zimski-Radni Dan,0:10:13.636364
11158,27E,Matice Srpske,Zimski-Nedelja,0:10:45.283019
11159,74,Matice Srpske,Zimski-Subota,0:15:12.328767
11160,25P,Matice Srpske,Zimski-Radni Dan,0:15:29.166667
11161,74,Matice Srpske,Zimski-Nedelja,0:17:20.625000
11162,25P,Matice Srpske,Zimski-Subota,0:17:54.193548
11163,E6,Matice Srpske,Zimski-Subota,0:19:33.913043
11164,E6,Matice Srpske,Zimski-Radni Dan,0:19:33.913043
11165,20,Matice Srpske,Zimski-Radni Dan,0:21:39.183673
11166,25P,Matice Srpske,Zimski-Nedelja,0:22:12
11167,20,Matice Srpske,Zimski-Nedelja,0:27:55.263158
11168,20,Matice Srpske,Zimski-Subota,0:27:55.263158
11169,27E,Milivoja Perovića,Zimski-Radni Dan,0:07:58.321678
11170,27E,Milivoja Perovića,Zimski-Subota,0:09:39.661017
11171,27E,Milivoja Perovića,Zimski-Nedelja,0:10:45.283019
11172,79,Milivoja Perovića,Zimski-Radni Dan,0:12:36.818182
11173,25P,Milivoja Perovića,Zimski-Radni Dan,0:15:29.166667
11174,79,Milivoja Perovića,Zimski-Subota,0:17:20.625000
11175,79,Milivoja Perovića,Zimski-Nedelja,0:17:20.625000
11176,25P,Milivoja Perovića,Zimski-Subota,0:17:54.193548
11177,E6,Milivoja Perovića,Zimski-Subota,0:19:33.913043
11178,E6,Milivoja Perovića,Zimski-Radni Dan,0:19:33.913043
11179,25P,Milivoja Perovića,Zimski-Nedelja,0:22:12
11180,84,Zemun /Gornji Grad/,Zimski-Radni Dan,0:08:00
11181,84,Zemun /Gornji Grad/,Zimski-Subota,0:09:56.842105
11182,73,Zemun /Gornji Grad/,Zimski-Radni Dan,0:11:34.639175
11183,704,Zemun /Gornji Grad/,Zimski-Radni Dan,0:12:17.931034
11184,84,Zemun /Gornji Grad/,Zimski-Nedelja,0:12:30.666667
11185,73,Zemun /Gornji Grad/,Zimski-Subota,0:12:45.681818
11186,706,Zemun /Gornji Grad/,Zimski-Subota,0:13:19.285714
11187,706,Zemun /Gornji Grad/,Zimski-Radni Dan,0:13:21.428571
11188,707,Zemun /Gornji Grad/,Zimski-Radni Dan,0:15:39.718310
11189,704,Zemun /Gornji Grad/,Zimski-Subota,0:15:59.090909
11190,704,Zemun /Gornji Grad/,Zimski-Nedelja,0:17:34
11191,706,Zemun /Gornji Grad/,Zimski-Nedelja,0:18:04.838710
11192,73,Zemun /Gornji Grad/,Zimski-Nedelja,0:19:02.033898
11193,707,Zemun /Gornji Grad/,Zimski-Subota,0:19:36.842105
11194,707,Zemun /Gornji Grad/,Zimski-Nedelja,0:19:36.842105
11195,703L1,Zemun /Gornji Grad/,Zimski-Radni Dan,0:21:28.846154
11196,703L1,Zemun /Gornji Grad/,Zimski-Subota,0:32:33.529412
11197,703L1,Zemun /Gornji Grad/,Zimski-Nedelja,0:32:33.529412
11198,705,Zemun /Gornji Grad/,Zimski-Radni Dan,0:50:05.454545
11199,705,Zemun /Gornji Grad/,Zimski-Subota,0:52:28.571429
11200,705,Zemun /Gornji Grad/,Zimski-Nedelja,0:52:28.571429
11201,706E,Zemun /Gornji Grad/,Zimski-Radni Dan,0:58:17.142857
11202,706E,Zemun /Gornji Grad/,Zimski-Nedelja,1:23:00
11203,706E,Zemun /Gornji Grad/,Zimski-Subota,1:23:00
11204,84,Galenika (Kapija),Zimski-Radni Dan,0:08:00.422535
11205,84,Galenika (Kapija),Zimski-Subota,0:09:57.368421
11206,84,Galenika (Kapija),Zimski-Nedelja,0:12:31.333333
11207,612,Galenika (Kapija),Zimski-Radni Dan,0:47:30
11208,612,Galenika (Kapija),Zimski-Subota,0:47:30
11209,612,Galenika (Kapija),Zimski-Nedelja,1:32:00
11210,84,Mihajla Vukše,Zimski-Radni Dan,0:08:00.422535
11211,84,Mihajla Vukše,Zimski-Subota,0:09:57.368421
11212,84,Mihajla Vukše,Zimski-Nedelja,0:12:31.333333
11213,612,Mihajla Vukše,Zimski-Radni Dan,0:47:30
11214,612,Mihajla Vukše,Zimski-Subota,0:47:30
11215,612,Mihajla Vukše,Zimski-Nedelja,1:32:00
11216,84,Galenika ,Zimski-Radni Dan,0:08:00.422535
11217,84,Galenika ,Zimski-Subota,0:09:57.368421
11218,84,Galenika ,Zimski-Nedelja,0:12:31.333333
11219,612,Galenika ,Zimski-Radni Dan,0:47:30
11220,612,Galenika ,Zimski-Subota,0:47:30
11221,612,Galenika ,Zimski-Nedelja,1:32:00
11222,47,Kamenac,Zimski-Subota,0:08:01.632653
11223,47,Kamenac,Zimski-Radni Dan,0:08:11.250000
11224,94,Kamenac,Zimski-Radni Dan,0:09:19.322034
11225,47,Kamenac,Zimski-Nedelja,0:11:05.094340
11226,94,Kamenac,Zimski-Subota,0:11:43.404255
11227,94,Kamenac,Zimski-Nedelja,0:12:10
11228,504,Kamenac,Zimski-Subota,0:19:02.105263
11229,504,Kamenac,Zimski-Radni Dan,0:19:02.105263
11230,504,Kamenac,Zimski-Nedelja,0:19:02.105263
11231,47,Brđanska,Zimski-Subota,0:08:01.632653
11232,47,Brđanska,Zimski-Radni Dan,0:08:11.250000
11233,47,Brđanska,Zimski-Nedelja,0:11:05.094340
11234,504,Brđanska,Zimski-Subota,0:19:02.105263
11235,504,Brđanska,Zimski-Radni Dan,0:19:02.105263
11236,504,Brđanska,Zimski-Nedelja,0:19:02.105263
11237,47,Josipa Telarevića,Zimski-Subota,0:08:01.632653
11238,47,Josipa Telarevića,Zimski-Radni Dan,0:08:10.833333
11239,47,Josipa Telarevića,Zimski-Nedelja,0:11:05.094340
11240,504,Josipa Telarevića,Zimski-Subota,0:19:02.105263
11241,504,Josipa Telarevića,Zimski-Radni Dan,0:19:02.105263
11242,504,Josipa Telarevića,Zimski-Nedelja,0:19:02.105263
11243,507,Josipa Telarevića,Zimski-Subota,0:34:07.741935
11244,507,Josipa Telarevića,Zimski-Nedelja,0:34:07.741935
11245,507,Josipa Telarevića,Zimski-Radni Dan,0:34:07.741935
11246,47,Železnička Stanica Resnik,Zimski-Subota,0:08:01.632653
11247,47,Železnička Stanica Resnik,Zimski-Radni Dan,0:08:11.666667
11248,47,Železnička Stanica Resnik,Zimski-Nedelja,0:11:05.094340
11249,504,Železnička Stanica Resnik,Zimski-Nedelja,0:19:02.105263
11250,504,Železnička Stanica Resnik,Zimski-Radni Dan,0:19:02.105263
11251,504,Železnička Stanica Resnik,Zimski-Subota,0:19:02.105263
11252,506,Železnička Stanica Resnik,Zimski-Radni Dan,0:29:35
11253,507,Železnička Stanica Resnik,Zimski-Nedelja,0:34:34.838710
11254,507,Železnička Stanica Resnik,Zimski-Radni Dan,0:34:34.838710
11255,507,Železnička Stanica Resnik,Zimski-Subota,0:34:34.838710
11256,506,Železnička Stanica Resnik,Zimski-Nedelja,0:38:34.285714
11257,506,Železnička Stanica Resnik,Zimski-Subota,0:38:34.285714
11258,503,Železnička Stanica Resnik,Zimski-Radni Dan,0:42:17.500000
11259,503,Železnička Stanica Resnik,Zimski-Nedelja,1:12:30
11260,503,Železnička Stanica Resnik,Zimski-Subota,1:12:30
11261,47,13.Oktobra,Zimski-Subota,0:08:01.632653
11262,47,13.Oktobra,Zimski-Radni Dan,0:08:11.250000
11263,47,13.Oktobra,Zimski-Nedelja,0:11:05.094340
11264,504,13.Oktobra,Zimski-Subota,0:19:02.105263
11265,504,13.Oktobra,Zimski-Radni Dan,0:19:02.105263
11266,504,13.Oktobra,Zimski-Nedelja,0:19:02.105263
11267,507,13.Oktobra,Zimski-Nedelja,0:34:32.903226
11268,507,13.Oktobra,Zimski-Radni Dan,0:34:32.903226
11269,507,13.Oktobra,Zimski-Subota,0:34:32.903226
11270,503,13.Oktobra,Zimski-Radni Dan,0:42:17.500000
11271,503,13.Oktobra,Zimski-Nedelja,1:12:30
11272,503,13.Oktobra,Zimski-Subota,1:12:30
11273,47,Aleksandra Vojinovića,Zimski-Subota,0:08:01.632653
