,route_short_name,stop_name,average_wait
881,534,Ripanj /Groblje/,0:26:13.333333
884,91,Ostružnica /Novo Naselje/,0:26:25.714286
887,512,Sremčica /Naselje Gorica/,0:26:45
892,513,Sremčica /Naselje Gorica/,0:42:00
893,306,Leštane,0:27:54.285714
896,602,Src Surčin,0:28:37.500000
900,312,Mz Vml,0:29:00
903,521,Vidikovac,0:29:07.894737
905,521,Železnik /Tariš/,0:29:10
908,506,Resnik (Patin Majdan),0:29:35
913,38L,Železnička Stanica Beograd Centar,0:29:50.625000
914,403,Zuce,0:29:52.307692
918,38L,Pogon Kosmaj,0:30:00
920,72,Aerodrom Nikola Tesla,0:30:50
923,32E,Trg Republike,0:31:17.777778
926,87,Čukarička Padina,0:33:37.241379
929,87A,Čukarička Padina,0:38:10.909091
930,56L,Čukarička Padina,0:48:27.692308
932,409,Voždovac-Okretnica,0:33:42.222222
935,406L,Voždovac-Okretnica,0:35:18.750000
937,503,Voždovac-Okretnica,0:42:30
940,303,Vrčin ,0:34:32.727273
944,507,Rušanj (Drobnjački Kraj),0:35:00
947,406L,Beli Potok (Igralište),0:35:09.375000
951,513,Velika Moštanica (Živojina Tabakovića),0:42:24
952,408,Ralja /Drumine/,0:36:46.451613
955,106,Jabučki Rit,0:37:20
958,64,Šumice,0:38:10.909091
962,606,Grmovac /25.Nova/,0:38:40
966,407L,Bela Reka,0:42:45
968,407,Bela Reka,0:43:16.153846
971,404,Bela Reka,1:05:52.941176
975,407L,Trebež (Okretnica),0:43:00
976,54,Mz Makiš,0:44:00
979,553,Rucka /Okretnica/,0:45:27.272727
983,613,Radiofar,0:45:30
985,705,13. Maj,0:48:02.608696
990,60,Toplana,0:57:30
991,60L,Toplana,1:18:00
992,501,Staro Kijevo,0:56:40
995,107,Dunavac,0:57:15
997,102,Vrbovski,0:58:09.473684
999,706E,Aerodrom Batajnica,0:58:34.285714
1004,406,Institut Jaroslav Černi,1:05:37.500000
1006,404,Trešnja /Okretnica/,1:05:52.941176
1010,110,Put Za Vrbovski,1:14:40
1013,109,Put Za Dunavac,1:16:20
