,stop_name,Number of trips
6437,Depo Sava,102
3085,Institut Mihajlo Pupin,102
3196,Blok 24,102
2802,Inos,102
2603,Bulevar Peka Dapčevića,102
6977,Novo Bežanijsko Groblje,102
3191,Milutina Milankovića,102
3091,Dragiše Lapčevića,102
3190,Milutina Milankovića,102
3197,Blok 24,102
5316,Žarka Jelića,102
5322,Slovački Dom,102
5328,Fruškogorska,102
5334,Dobanovci /Ulaz/,102
9006,Zvezdarskih Jelki,102
1315,Branka Ćopića,102
1328,Vitezova Karađorđeve Zvezde,102
3079,Zvezdara 2,102
6480,Cerak Vinogradi,102
4955,Ilije Miličevića,102
1322,16. Oktobra,102
4954,Ilije Miličevića,102
2808,Kontaktor,102
9201,"Vrtić ""Oaza""",101
5411,Bežanijska Kosa,101
2396,Dušana Radovića,101
6204,Cerak Vinogradi,101
1915,Višnjica,101
1909,Lovačka,101
1906,Despotovačka,101
5720,Višnjica,101
1912,Lovačka,101
2390,Zvezdara,101
1891,Marina,101
1894,Marina,101
5412,Bežanijska Kosa,101
1897,Višnjička Banja,101
1900,Višnjička Banja,101
1903,Despotovačka,101
1885,Rospi Ćuprija,101
583,Peđe Milosavljevića,101
7220,Fk Banja,101
7711,Žikina (Prilaz),101
7217,Fk Banja,101
8344,Batajnica,100
5556,Dalmatinskih Brigada,100
1985,Sp Lasta,100
5550,Drage Mihajlovića,100
1984,Sp Lasta,100
1983,Sp Lasta,100
8169,Borča 3,100
2631,Zdravka Jovanovića,99
2679,Zeleni Venac,99
2649,Bele Vode,99
6385,Gradine,99
2022,Žel. St. Dunav -Okretnica,99
2025,Luka Beograd,99
6391,Trafostanica,99
2028,Tempo,99
2643,Belo Vrelo,99
2637,Crveno Barjače,99
3199,Blok 24,99
3200,Blok 24,99
4644,Crkva,99
4570,Lipovačka,99
5665,Mz Železnik,99
6598,Zvezdara,98
5662,Mz Železnik,98
6520,Milorada Ćirića,98
5010,Crkva,98
6388,Trafostanica,98
6382,Gradine,98
4235,Boleč Raskršće,98
6666,Put Za Novi Sad,98
2393,Dušana Radovića,97
6368,Bitoljska,97
7181,Miška Kranjca,97
7176,Košutnjak,97
7175,Košutnjak,97
9037,Beograd Na Vodi,97
9246,Vareška,97
9247,Vareška,97
2671,Ljubice Ivošević,97
7163,Topčiderska Okretnica,97
6396,Stari Železnik,97
6696,Milana Rakića,97
9249,Careva Ćuprija,97
9250,Careva Ćuprija,97
3852,Crvenka,97
7170,Patrijarha Pavla,97
7169,Patrijarha Pavla,97
7164,Topčiderska Okretnica,97
7182,Miška Kranjca,97
2665,Šavnička,97
7160,Železnička Stanica Topčider,97
7157,Topčiderski Park,97
9205,"Vrtić ""Oaza""",97
7158,Topčiderski Park,97
6179,Kosmajska,97
3408,Batajnica (Centar),97
3414,Batajnica /Železnička Rampa/,97
7161,Železnička Stanica Topčider,97
3221,Blok 70a,96
8400,Mz Resnik,96
4582,Vizantijska ,96
9222,13.Oktobra,96
9010,Zvezdarskih Jelki,96
9007,Zvezdarskih Jelki,96
7173,Patrijarha Pavla,96
7172,Patrijarha Pavla,96
2543,Tunel Straževica,96
5830,Čaršija,96
9243,Vareška,96
5827,Sanatorijum,96
8135,Sunčani Breg 1,96
6904,Toplana 1,96
9244,Vareška,96
8134,Sunčani Breg 1,96
3276,Kbc Bežanijska Kosa,96
9231,Milorada Jankovića Doce,96
5824,Sanatorijum,96
3465,Zelengorska,96
6200,Cerski Venac,96
6444,Garaža Novi Beograd,96
3083,Zvezdara 2,96
4232,Boleč Raskršće,96
3086,Institut Mihajlo Pupin,96
9234,Milorada Jankovića Doce,96
7184,Miška Kranjca,96
7652,Mali Zabran,96
9268,Savski Trg,96
6978,Novo Bežanijsko Groblje,96
7185,Miška Kranjca,96
6975,Novo Bežanijsko Groblje,96
7653,Mali Zabran,96
6423,Volgina,96
3089,Institut Mihajlo Pupin,96
8131,Miljakovačko Brdo,96
4576,Mz Vml,96
3092,Dragiše Lapčevića,96
9267,Savski Trg,96
8132,Miljakovačko Brdo,96
7179,Košutnjak,96
6426,Volgina,96
7178,Košutnjak,96
8139,Sunčani Breg 2,96
8133,Miljakovačko Brdo,96
6371,Bitoljska,96
2542,Tunel Straževica,96
3227,Jurija Gagarina,96
6188,Vrtić Plava Ptica,96
8137,Sunčani Breg 2,96
5833,Čaršija,96
2668,Šavnička,96
3095,Dragiše Lapčevića,96
7167,Topčiderska Okretnica,96
9219,13.Oktobra,96
7166,Topčiderska Okretnica,96
7835,Dom Garde,96
6194,Vinogradski Venac,96
3080,Zvezdara 2,96
8138,Sunčani Breg 2,96
8484,Edvarada Griga (Ulaz),96
5516,Posavska,96
8767,Železnička Stanica Topčider,96
8766,Železnička Stanica Topčider,96
6906,Toplana 1,96
8136,Sunčani Breg 1,96
8790,Petlja Radnička,96
6905,Toplana 1,96
6182,Kosmajska,96
2674,Ljubice Ivošević,96
2541,Tunel Straževica,96
5535,Novi Beograd /Blok 72/,96
7836,Dom Garde,96
9253,Careva Ćuprija,96
7651,Mali Zabran,96
9252,Careva Ćuprija,96
3218,Blok 70a,95
3224,Jurija Gagarina,95
4503,Babin Lug,95
4497, Zdravstvena Stanica  Leštane I Vinča,95
4524,Vinča /Škola/,95
5926,Glumčevo Brdo /Gorčinac/,95
4539,Miloša Obrenovića ,95
4952,Novo Naselje /Rušanj/,95
4509,Vinča /Ulaz/,95
4951,Novo Naselje /Rušanj/,95
6458,Sremčica /Naselje Gorica/,95
4512,Mike Petrovića Alasa,95
4527,Vinča /Škola/,95
4536,Miloša Obrenovića ,95
4500,Babin Lug,95
4530,Vinčanska,95
4515,Mike Petrovića Alasa,95
4533,Vinčanska,95
6568,Glumčevo Brdo 1,95
4506,Vinča /Ulaz/,95
4521,Svetosavska,95
4518,Svetosavska,95
7099,Železnička Tehnička Stanica,94
7111,Koste Cukića,94
7093,Novosadski Put,94
7081,Koste Brankovića ,94
2540,Tunel Straževica,94
8589,Sunčani Breg 2,94
7414,Železnička Tehnička Stanica 1,94
8590,Sunčani Breg 2,94
7105,Milana Nedeljkovića,94
2539,Tunel Straževica,94
2538,Tunel Straževica,94
8176,Mihajla Bandura,94
8588,Sunčani Breg 2,94
3468,Kbc Bežanijska Kosa,94
6185,Vrtić Plava Ptica,94
3462,Zelengorska,94
8596,Mali Zabran,94
5598,Matice Srpske,94
3815,Mihaila Bulgakova,94
6909,Toplana,94
6908,Toplana,94
6191,Vinogradski Venac,94
3463,Zelengorska,94
8597,Miljakovačko Brdo,94
7798,Crkva Sv. Atanasija Velikog,94
6418,Trafostanica,94
7117,Koste Alkovića,94
8598,Miljakovačko Brdo,94
3012,Bulevar Kneza Aleksandra Karađorđevića,94
6197,Cerski Venac,94
8599,Miljakovačko Brdo,94
6907,Toplana,94
6875,Zeleni Venac,94
6438,Depo Sava,94
3469,Kbc Bežanijska Kosa,94
6433,Strahinje Petrovića,94
8595,Mali Zabran,94
3725,Put Za Kovilovo,94
8594,Mali Zabran,94
3724,Put Za Kovilovo,94
8593,Sunčani Breg 1,94
9202,"Vrtić ""Oaza""",94
8592,Sunčani Breg 1,94
8591,Sunčani Breg 1,94
3009,Bulevar Kneza Aleksandra Karađorđevića,94
1982,Kumodraž 1,94
2680,Zeleni Venac,93
7988,Put Za Novi Sad,93
416,Voždovac,93
7989,Put Za Novi Sad,93
1554,Zemun (Novi Grad),93
8321,Tc Zmaj,93
6748,Školsko Dobro,93
9125,Tc Zmaj,93
6412,Školsko Dobro,93
8264,Pupin Telekom,93
4573,Mz Vml,93
8265,Pupin Telekom,93
6429,Kumodraž,93
7986,Zemun Park,93
3277,Kbc Bežanijska Kosa,93
7985,Zemun Park,93
3466,Zelengorska,93
9220,13.Oktobra,92
7102,Milana Nedeljkovića,92
6799,Trafostanica,92
8173,Mihajla Bandura,92
8023,Kineski Tržni Centar,92
8485,Edvarada Griga (Ulaz),92
2217,Vase Pelagića,92
7096,Železnička Tehnička Stanica,92
2211,Topčiderska Zvezda,92
4269,Usek,92
2223,Vojislava Vučkovića,92
8791,Petlja Radnička,92
7983,Zemun Park,92
4275,Suva Česma,92
6802,Strahinje Petrović,92
4299,Šumadijska,92
7090,Novosadski Put,92
7411,Železnička Tehnička Stanica 1,92
4302,Grocka,92
7114,Koste Alkovića,92
8401,Mz Resnik,92
4293,Vase Čarapića,92
7108,Koste Cukića,92
3554,Zeleni Venac,92
7795,Crkva Sv. Atanasija Velikog,92
7369,Koste Brankovića,92
9232,Milorada Jankovića Doce,92
4281,Careva Glavica,92
9235,Milorada Jankovića Doce,92
9223,13.Oktobra,92
8262,Pupin Telekom,92
4263,Put Za Zaklopaču,92
8261,Pupin Telekom,92
3981,Amd Grocka,92
4287,Gročica,92
7982,Zemun Park,92
3827,Mihaila Bulgakova,91
4329,Vinogradi,91
5601,Matice Srpske,91
2226,Senjačka,91
4335,Begaljica /Ulaz/,91
1410,Kirovljeva,91
4341,Zelengora,91
4317,Bosansko Naselje,91
1404,Ada Ciganlija,91
4323,Begaljički Most,91
5668,Dobrivoja Jovanovića,91
2199,Kozjačka,91
2615,Železnik R,91
2220,Vojislava Vučkovića,91
4140,Veliko Selo,91
5536,Kej Oslobođenja,91
6944,Jovana Mikića,91
7579,Mz Velika Moštanica,91
2614,Železnik R,91
5659,V. Moštanica /Centar/,91
4311,15. Maja,91
5653,Kosmajska,91
2208,Topčiderska Zvezda,91
180,Batutova,91
7423,Borisa Kidriča,91
584,Peđe Milosavljevića,91
4347,Ulica Revolucije,91
2214,Vase Pelagića,91
6938,Milovana Čelebića,91
4543,Vinča,90
4544,Vinča,90
4284,Gročica,90
7576,Mz Velika Moštanica,90
4305,Ja,90
3891,V. Moštanica /Centar/,90
4290,Vase Čarapića,90
3978,Amd Grocka,90
4296,Šumadijska,90
4266,Usek,90
4272,Suva Česma,90
4278,Careva Glavica,90
6941,Jovana Mikića,90
5774,Železnik R,90
4260,Put Za Zaklopaču,90
2681,Zeleni Venac,90
3549,Dobrivoja Jovanovića,90
5775,Železnik R,90
4314,Bosansko Naselje,89
5560,Batajnica,89
4326,Vinogradi,89
4308,15. Maja,89
5551,Drage Mihajlovića,89
4320,Begaljički Most,89
5557,Dalmatinskih Brigada,89
6512,Zlatanovići,89
5650,Kosmajska,89
5362,Kej Oslobođenja,89
6735,Ugrinovački Put,89
6732,Ratarski Put,89
4344,Ulica Revolucije,89
7417,Batutova,89
159,Tašmajdan /Park/,89
6734,Ugrinovački Put,89
4338,Zelengora,89
8059,Ripanj /Groblje/,89
7420,Borisa Kidriča,89
4332,Begaljica /Ulaz/,89
6741,Juga Grizelja,89
6731,Ratarski Put,89
156,Gradska Bolnica,89
6740,Juga Grizelja,89
5776,Pećani,88
5779,Ostružnica 2,88
161,Tašmajdan /Park/,88
7344,Ratarski Put,88
5734,Ostružnica 1,88
6970,Lazara Trifunovića,88
5713,Umka-Centar,88
5261,Jakovo,88
160,Tašmajdan /Park/,88
5262,Jakovo,88
7338,Juga Grizelja,88
2088,Mirijevo 3,88
7337,Juga Grizelja,88
6509,Zlatanovići,88
6910,Zelengora,88
7340,Ugrinovački Put,88
7335,Ljiljane Krstić,88
7341,Ugrinovački Put,88
3409,Batajnica (Centar),88
3415,Batajnica /Železnička Rampa/,88
2733,Dorćol /Src Milan Gale Muškatirović/,88
7343,Ratarski Put,88
7334,Ljiljane Krstić,88
6964,Matice Srpske /Pijaca/,88
5869,Ripanj /Centar/,87
5860,Ripanj /Brdo/,87
5857,Rašin Majdan,87
6979,Kvantaška Pijaca,87
5863,Ripanj /Brdo/,87
5854,Rašin Majdan,87
5866,Ripanj /Centar/,87
2676,Ostružnica 1,87
7351,Bačka,87
5620,Kvantaška Pijaca,87
7363,Novo Bežanijsko Groblje,87
7366,Novo Bežanijsko Groblje,87
2772,Pećani,87
7357,Banatska,87
2769,Ostružnica 2,87
6898,Zelengora,87
2172,Dedinje /Ortopedska Bolnica/,86
5561,Batajnica,86
5558,Dalmatinskih Brigada,86
5413,Bežanijska Kosa,86
6518,Radnih Akcija,86
2160,Šolina,86
3558,Košutnjak,86
5552,Drage Mihajlovića,86
804,Milentija Popovića,86
7354,Bačka,86
4992,Oslobođenja 2,86
7360,Banatska,86
6931,Dom Zdravlja,86
7846,Rasinska,86
4983,Drage Vukićević,86
4995,Oslobođenja 2,86
6961,Matice Srpske /Pijaca/,86
6967,Lazara Trifunovića,86
3279,Naselje Mileva Marić Ajnštajn,86
3717,Blok 72,86
7876,Epš Milutin Milanković,86
4980,Drage Vukićević,86
7843,Oš Vladimir Rolović,86
1371,Peta Ekonomska,86
3273,Koste Živkovića,86
4989,Oslobođenja 1,86
4986,Oslobođenja 1,86
6448,Jedanaeste Krajiške Divizije,85
6934,Milovana Čelebića,85
4014,Košutnjak,85
6481,Oš Vladimir Rolović,85
2163,Šolina,85
2892,Narodnih Heroja,85
3270,Hasanaginica,85
7288,Go Vračar,85
1518,Smiljanićeva,85
3561,Koste Živkovića,85
2175,Dedinje /Ortopedska Bolnica/,85
3714,Blok 72,85
6313,Dom Zdravlja,85
3267,Naselje Mileva Marić Ajnštajn,85
8450,Epš Milutin Milanković,85
1512,Cvetni Trg,85
6445,Rasinska,85
1530,Internacionalnih Brigada,85
1506,Tašmajdan,85
3202,Zeleni Venac,84
2979,Bežanijska Kosa /Groblje/,84
3201,Zeleni Venac,84
3183,Blok 28,84
3165,Bulevar Zorana Đinđića,84
8809,Studentski Trg,84
6515,Radnih Akcija,84
8808,Studentski Trg,84
6658,Ostružnica /Novo Naselje/,84
3171,Blok 29,84
3177,Fakultet Dramskih Umetnosti,84
2661,Nedeljka Gvozdenovića,84
1910,Lovačka,83
4446,Prvog Maja,83
4452,Boleč /Centar/,83
8460,Ikea,83
8432,Boleč (Groblje),83
4455,Boleč /Centar/,83
5838,Kolonija,83
5837,Kolonija,83
8435,Boleč (Groblje),83
4458,Virska,83
1509,Tašmajdan,83
4449,Prvog Maja,83
1892,Marina,83
6322,Mz Ostružnica,83
1886,Rospi Ćuprija,83
1895,Marina,83
1916,Višnjica,83
1913,Lovačka,83
1898,Višnjička Banja,83
1901,Višnjička Banja,83
4464,Boleč,83
1904,Despotovačka,83
1907,Despotovačka,83
7291,Go Vračar,83
4461,Virska,83
5721,Višnjica,83
8467,Tranšped,83
5849,Put Za Milovanoviće,83
801,Milentija Popovića,83
1515,Cvetni Trg,83
8461,Ikea,83
5850,Put Za Milovanoviće,83
8465,Tranšped,83
5843,Železnička Stanica Ripanj,83
5001,Boleč /Crkva/,83
5844,Železnička Stanica Ripanj,83
4998,Boleč /Crkva/,83
7218,Fk Banja,83
7221,Fk Banja,83
1521,Smiljanićeva,83
8511,Timočki Put (Ulaz),83
8459,Ikea,83
8466,Tranšped,83
8512,Timočki Put (Ulaz),83
6919,Železnički Nadvožnjak,83
3174,Fakultet Dramskih Umetnosti,82
5847,Železnička Stanica Ripanj,82
5846,Železnička Stanica Ripanj,82
4240,Hladnjača Pkb,82
5852,Put Za Milovanoviće,82
5853,Put Za Milovanoviće,82
3168,Blok 29,82
5841,Kolonija,82
87,Bežanijska Kosa /Grčka/,82
8277,Novi Beograd (Blok 20),82
1257,Omladinskih Brigada 1,82
8515,Timočki Put (Ulaz),82
8514,Timočki Put (Ulaz),82
4252,Plantaža,82
4258,Bećarevo Brdo,82
7394,Bare,82
8280,Novi Beograd (Blok 20),82
3162,Bulevar Zorana Đinđića,82
5840,Kolonija,82
4246,Vikendice,82
6513,Zlatanovići,82
3456,Bežanijska Kosa /Groblje/,82
6502,Svete Milutinovića,82
6922,Železnički Nadvožnjak,82
6325,Mz Ostružnica,82
3474,Dom Penzionera,81
2134,Vatrosprem,81
6369,Bitoljska,81
7247,Bulevar Peka Dapčevića,81
2672,Ljubice Ivošević,81
6180,Kosmajska,81
4352,Begaljica,81
6510,Zlatanovići,81
806,Milentija Popovića,81
3013,Bulevar Kneza Aleksandra Karađorđevića,81
3014,Bulevar Kneza Aleksandra Karađorđevića,81
6703,Ostružnica /Karaula/,81
805,Milentija Popovića,81
5182,Rasadnik,81
2666,Šavnička,81
7793,Topola,80
6073,Buljubašine Vode,80
9115,Kalemegdan,80
2131,Vatrosprem,80
6079,Veliki Mokri Lug,80
4141,Veliko Selo,80
4571,Lipovačka,80
6346,Beli Potok /Centar/,80
4237,Hladnjača Pkb,80
6067,Stari Vinogradi,80
6902,Solunska,80
6903,Solunska,80
9111,Cara Uroša,80
9114,Kalemegdan,80
9112,Cara Uroša,80
8296,Jakovo (Ulaz),80
8295,Jakovo (Ulaz),80
3010,Bulevar Kneza Aleksandra Karađorđevića,80
3011,Bulevar Kneza Aleksandra Karađorđevića,80
2137,Cvetna,80
7244,Bulevar Peka Dapčevića,80
4746,Put Za Beli Potok,80
4749,Put Za Beli Potok,80
4752,Beli Potok /Ulaz/,80
4755,Beli Potok /Ulaz/,80
6343,Oš Vasa Čarapić,80
6581,Mz Kumodraž,80
4758,Beli Potok /Centar/,80
4142,Veliko Selo,80
5235,Sremska,80
5222,Silosi,80
2641,Crveno Barjače,80
5229,Servisi,80
4243,Vikendice,80
5228,Servisi,80
4249,Plantaža,80
5240,Sestara Krstonošić,80
6705,Ostružnica /Karaula/,80
2654,Bele Vode,80
6704,Ostružnica /Karaula/,80
5223,Silosi,80
5241,Sestara Krstonošić,80
7391,Bare,80
5246,Mz Jakovo,80
5247,Mz Jakovo,80
2653,Bele Vode,80
5234,Sremska,80
4255,Bećarevo Brdo,80
2642,Crveno Barjače,80
2635,Zdravka Jovanovića,80
2636,Zdravka Jovanovića,80
2647,Belo Vrelo,80
6340,Oš Vasa Čarapić,80
9224,Boleč,80
2648,Belo Vrelo,80
5232,Sremska,79
8293,Jakovo (Ulaz),79
8292,Jakovo (Ulaz),79
6372,Bitoljska,79
5231,Sremska,79
6201,Cerski Venac,79
5225,Servisi,79
6195,Vinogradski Venac,79
2054,Železnička Stanica Dunav,79
6183,Kosmajska,79
5220,Silosi,79
5237,Sestara Krstonošić,79
5219,Silosi,79
5226,Servisi,79
2675,Ljubice Ivošević,79
6189,Vrtić Plava Ptica,79
5185,Src Surčin,79
2669,Šavnička,79
5238,Sestara Krstonošić,79
6459,Sremčica /Naselje Gorica/,79
6519,Radnih Akcija,79
802,Milentija Popovića,78
6621,Dobanovci /Groblje/,78
6798,Reva /Duboka Bara/,78
7993,Miljakovac 3,78
6876,Zeleni Venac,78
8768,Miljakovac 3,78
2662,Nedeljka Gvozdenovića,78
6797,Reva /Duboka Bara/,78
7996,Miljakovačke Staze 1,78
8002,Miljakovačke Staze 2,78
6198,Cerski Venac,78
8005,Miljakovačke Staze 2,78
803,Milentija Popovića,78
6620,Dobanovci /Groblje/,78
2980,Bežanijska Kosa /Groblje/,78
6626,Zemunska,78
7990,Miljakovački Izvori,78
7367,Novo Bežanijsko Groblje,78
6980,Kvantaška Pijaca,78
2894,Narodnih Heroja,78
6623,Partizanska,78
6624,Partizanska,78
6192,Vinogradski Venac,78
6186,Vrtić Plava Ptica,78
6627,Zemunska,78
7999,Miljakovačke Staze 1,78
2893,Narodnih Heroja,78
5986,Zuce,78
6516,Radnih Akcija,77
3184,Blok 28,77
3166,Bulevar Zorana Đinđića,77
2644,Belo Vrelo,77
2639,Crveno Barjače,77
3158,Omladinski Stadion /Ulaz/,77
2638,Crveno Barjače,77
3178,Fakultet Dramskih Umetnosti,77
88,Bežanijska Kosa /Grčka/,77
3179,Fakultet Dramskih Umetnosti,77
2895,Čukarička Padina,77
5417,Zmaj,77
2645,Belo Vrelo,77
2650,Bele Vode,77
5445,Dobanovci /Groblje/,77
5444,Dobanovci /Groblje/,77
2651,Bele Vode,77
5442,Put Za Soko Salaš,77
5441,Put Za Soko Salaš,77
5450,Zemunska,77
5439,Put Za Soko Salaš,77
5438,Put Za Soko Salaš,77
5451,Zemunska,77
5436,Naselje Radiofar,77
5435,Naselje Radiofar,77
5433,Ikarbus,77
5432,Ikarbus,77
5430,Ikarbus,77
5429,Ikarbus,77
5427,Grmeč,77
5426,Grmeč,77
5424,Grmeč,77
5423,Grmeč,77
3185,Blok 28,77
5421,Zmaj,77
5420,Zmaj,77
5453,Dobanovci /Centar/,77
5418,Zmaj,77
5454,Dobanovci /Centar/,77
3157,Omladinski Stadion /Ulaz/,77
2027,Luka Beograd,77
5447,Partizanska,77
3172,Blok 29,77
2029,Tempo,77
2030,Tempo,77
6923,Železnički Nadvožnjak,77
7358,Banatska,77
7451,Naselje Radiofar,77
6921,Železnički Nadvožnjak,77
6920,Železnički Nadvožnjak,77
6327,Mz Ostružnica,77
2633,Zdravka Jovanovića,77
2632,Zdravka Jovanovića,77
6323,Mz Ostružnica,77
527,Vojvode Dragomira,77
4577,Mz Vml,77
3167,Bulevar Zorana Đinđića,77
4583,Vizantijska ,77
5448,Partizanska,77
7452,Naselje Radiofar,77
3173,Blok 29,77
2024,Žel. St. Dunav -Okretnica,77
2023,Žel. St. Dunav -Okretnica,77
3457,Bežanijska Kosa /Groblje/,77
6324,Mz Ostružnica,77
6924,Železnički Nadvožnjak,77
6326,Mz Ostružnica,77
2026,Luka Beograd,77
7352,Bačka,77
5004,Orlovača Groblje,76
7361,Banatska,76
7364,Novo Bežanijsko Groblje,76
6601,Orlovača Groblje,76
3464,Zelengorska,76
5621,Kvantaška Pijaca,76
6559,Orlovača /Ulaz/,76
3475,Dom Penzionera,76
6562,Orlovača /Izlaz/,76
5183,Rasadnik,76
3470,Kbc Bežanijska Kosa,76
7355,Bačka,76
6282,Ovča /Izlaz/,75
3874,Atovi,75
4574,Mz Vml,75
3871,Mirgorodska,75
6279,Vojvođanski Salaši,75
3872,Mirgorodska,75
3869,Mirgorodska,75
3868,Mirgorodska,75
3866,Branislava Cige Jerinića,75
3865,Branislava Cige Jerinića,75
3863,Branislava Cige Jerinića,75
6281,Ovča /Izlaz/,75
3862,Branislava Cige Jerinića,75
2697,Oš Đura Jakšić,75
3860,Put Za Ovču,75
5798,Efeska,75
3170,Blok 29,75
3877,Atovi,75
2694,Kanarevo Brdo /Dom Zdravlja/,75
5801,Efeska,75
5802,Efeska,75
6275,Vojvođanski Salaši,75
5799,Efeska,75
1259,Omladinskih Brigada 1,75
1258,Omladinskih Brigada 1,75
3163,Bulevar Zorana Đinđića,75
3859,Put Za Ovču,75
3164,Bulevar Zorana Đinđića,75
6276,Vojvođanski Salaši,75
3176,Fakultet Dramskih Umetnosti,75
6554,Popova Bara,75
6555,Popova Bara,75
3175,Fakultet Dramskih Umetnosti,75
6278,Vojvođanski Salaši,75
3856,Put Za Ovču,75
3857,Put Za Ovču,75
7039,Kumodraž (Stepina Kuća),75
7192,Partizanska 2,75
6285,Ovča /Izlaz/,75
3901,Ovča /Beogradska/,75
3896,Žarka Zrenjanina,75
3878,Atovi,75
6404,Bolja,75
6583,Dobanovačka Petlja,75
1922,Agro-Koka,75
6586,Dobanovačka Petlja,75
1921,Agro-Koka,75
3015,Aerodrom Nikola Tesla,75
6589,Naselje Okrajak,75
6592,Naselje Okrajak,75
3875,Atovi,75
3902,Ovča /Beogradska/,75
5648,Njegoševa,75
3169,Blok 29,75
3904,Železnicka Rampa,75
3905,Železnicka Rampa,75
3907,Železnicka Rampa,75
3908,Železnicka Rampa,75
5335,Partizanska 1,75
6284,Ovča /Izlaz/,75
5338,Partizanska 1,75
6381,Agro-Koka,75
6380,Agro-Koka,75
3026,Njegoševa,75
5649,Njegoševa,75
7195,Partizanska 2,75
3025,Njegoševa,75
6558,Popova Bara,75
3889,Ovča /Centar/,75
3887,Ovča /Centar/,75
3886,Ovča /Centar/,75
4979,13. Septembar,75
6557,Popova Bara,75
3884,Ovča /Ulaz/,75
3883,Ovča /Ulaz/,75
4978,13. Septembar,75
3881,Ovča /Ulaz/,75
8319,Mihaila Petrovića,75
3890,Ovča /Centar/,75
6408,Nicu Rada,75
6407,Nicu Rada,75
8320,Mihaila Petrovića,75
8347,Mihaila Petrovića,75
3895,Žarka Zrenjanina,75
6405,Bolja,75
8346,Mihaila Petrovića,75
3880,Ovča /Ulaz/,75
3017,Aerodrom Nikola Tesla,74
7118,Koste Alkovića,74
5517,Posavska,74
7112,Koste Cukića,74
7082,Koste Brankovića ,74
7978,Polimark,74
5521,Milice Šuvaković,74
6659,Ostružnica /Novo Naselje/,74
3467,Zelengorska,74
7415,Železnička Tehnička Stanica 1,74
5732,Surčin,74
5527,Svetozara Papića,74
7972,Privredna Zona (Izlaz),74
7799,Crkva Sv. Atanasija Velikog,74
7882,Ugrinovački Put 12. Deo,74
6660,Ostružnica /Novo Naselje/,74
7100,Železnička Tehnička Stanica,74
8177,Mihajla Bandura,74
6942,Jovana Mikića,74
8454,Toplice Milana,74
6939,Milovana Čelebića,74
7106,Milana Nedeljkovića,74
8455,Toplice Milana,74
7894,Naselje Mala Pruga,74
6945,Jovana Mikića,74
6419,Trafostanica,74
3278,Kbc Bežanijska Kosa,74
7094,Novosadski Put,74
7888,Ugrinovački Put 26. Deo,74
8453,Toplice Milana,74
5729,Surčin,74
3016,Aerodrom Nikola Tesla,74
6434,Strahinje Petrovića,74
3737,Frikom,73
8820,Pinosava,73
3730,Put Za Jabučki Rit,73
8821,Pinosava,73
3731,Put Za Jabučki Rit,73
3736,Frikom,73
2167,Baje Pivljanina,73
2168,Baje Pivljanina,73
3749,Naselje Tovilište 1,73
3748,Naselje Tovilište 1,73
3742,Pk Beograd,73
3743,Pk Beograd,73
5832,Čaršija,72
5826,Sanatorijum,72
1405,Ada Ciganlija,72
1411,Kirovljeva,72
5825,Sanatorijum,72
8675,Resnik (Patin Majdan),72
5831,Čaršija,72
5730,Surčin,72
6080,Veliki Mokri Lug,71
6413,Školsko Dobro,71
6075,Buljubašine Vode,71
6074,Buljubašine Vode,71
7148,Stevana Dubajića,71
7954,Oš Danilo Kiš,71
6081,Veliki Mokri Lug,71
5835,Čaršija,71
7885,Ugrinovački Put 26. Deo,71
5834,Čaršija,71
6069,Stari Vinogradi,71
7879,Ugrinovački Put 12. Deo,71
7948,Timočke Divizije,71
7891,Naselje Mala Pruga,71
7149,Stevana Dubajića,71
7146,Kralja Uroša,71
7151,Braće Radišić,71
5829,Sanatorijum,71
7930,Generala Štefanika,71
6068,Stari Vinogradi,71
7145,Kralja Uroša,71
7873,Ljiljane Krstić,71
7936,Generala Vladimira Kondića,71
9126,Tc Zmaj,71
7942,Pukovnika Petra Mišića,71
5828,Sanatorijum,71
7152,Braće Radišić,71
7975,Polimark,71
2117,Kralja Radoslava,71
3733,Frikom,71
3734,Frikom,71
8322,Tc Zmaj,71
2170,Baje Pivljanina,71
3721,Put Za Kovilovo,71
3722,Put Za Kovilovo,71
2171,Baje Pivljanina,71
1555,Zemun (Novi Grad),71
3727,Put Za Jabučki Rit,71
6749,Školsko Dobro,71
6603,Orlovača Groblje,71
6602,Orlovača Groblje,71
3728,Put Za Jabučki Rit,71
6564,Orlovača /Izlaz/,71
6563,Orlovača /Izlaz/,71
6561,Orlovača /Ulaz/,71
3740,Pk Beograd,71
3739,Pk Beograd,71
6560,Orlovača /Ulaz/,71
5518,Milice Šuvaković,71
5524,Svetozara Papića,71
2116,Kralja Radoslava,71
5530,Privredna Zona (Ulaz),71
4949,Novo Naselje /Rušanj/,71
5005,Orlovača Groblje,71
5006,Orlovača Groblje,71
4948,Novo Naselje /Rušanj/,71
6565,Glumčevo Brdo 1,70
5251,Đorđa Radovića,70
5733,Surčin,70
5248,Đorđa Radovića,70
5242,Mz Jakovo,70
7109,Koste Cukića,70
7103,Milana Nedeljkovića,70
7412,Železnička Tehnička Stanica 1,70
8024,Kineski Tržni Centar,70
7097,Železnička Tehnička Stanica,70
7091,Novosadski Put,70
7370,Koste Brankovića,70
7115,Koste Alkovića,70
7957,Oš Danilo Kiš,70
8174,Mihajla Bandura,70
