,DC,CC,BC,EVC
Šangajska(1877),0.0006391818472355385,0.030231884057971014,0.0006250821592044161,4.7815191180068034e-14
Donje Naselje(2968),0.0006391818472355385,0.03845870206489675,0.0006240949461248959,1.7049626188706837e-10
Park Ključ(3119),0.0006391818472355385,0.02712754889721182,0.0006227007010990726,4.138821536869667e-17
Mike Alasa(2108),0.0006391818472355385,0.047670556689722414,0.0006201950676194992,4.2825828818104135e-06
Vrtić Bajka(2482),0.0006391818472355385,0.04507541380353516,0.0006165759897532123,1.2752204083341462e-07
Mali Zabran(2961),0.0006391818472355385,0.035852602149551986,0.0006158019293143473,3.2015866721743155e-12
Ruska(21),0.0006391818472355385,0.05152652899911076,0.0006142890816338616,3.429772960463636e-05
Knežopoljska(715),0.0006391818472355385,0.04688975138990874,0.0006096358721270381,0.0006385494360395634
Mirijevski Venac(626),0.0009587727708533077,0.03723094130385636,0.000609160992952996,2.099523995901884e-10
Ritopek /Centar/(1527),0.0006391818472355385,0.023533393501805056,0.0006083514492588204,1.2413578798437001e-16
Grmovac (20.Nova)(2751),0.0006391818472355385,0.03672104213120526,0.0006053068051459469,1.5525080759606e-10
Miloša Obrenovića (1561),0.0006391818472355385,0.02524425368498334,0.0006051194395986202,1.0787679649881142e-15
Vukov Spomenik(654),0.0009587727708533077,0.0545692361353331,0.0006021696118144306,0.01220535918477223
Ruska(498),0.0009587727708533077,0.06139025682277463,0.0006020165334455335,0.006729539501467506
Put Za Žtp(986),0.0009587727708533077,0.04259171033825631,0.00060165164577683,1.865839485645789e-08
8. Septembra(3080),0.0006391818472355385,0.03211569450574264,0.0006013737003645366,6.596520551039661e-15
Ušće(300),0.0009587727708533077,0.055354078581916606,0.000599934066362839,0.021490807631974383
Blok 24(1105),0.0006391818472355385,0.058401926199675235,0.000597991720116161,0.0014015578109166696
Virska(1533),0.0006391818472355385,0.02594828587066492,0.0005963974409265701,9.055735414692481e-15
Slavka Rodića(3694),0.0009587727708533077,0.045510079413561395,0.0005949873926510895,3.4466326752182334e-08
Tc Zmaj(3145),0.001278363694471077,0.03867403314917127,0.0005940449260550292,2.082383855492604e-09
Manastir(7970),0.0006391818472355385,0.032275699874156745,0.0005938690036855127,3.9449392760555075e-14
Kremenje(2780),0.0006391818472355385,0.025913258080812265,0.0005935366526077389,6.722071920617424e-15
Klanički Kej(718),0.0006391818472355385,0.046762912482065995,0.0005799862144252795,0.0004547811997635163
Like Ružića(1706),0.0006391818472355385,0.037015568068896984,0.0005779249972571784,1.448176645818982e-11
Milana Ajvaza(1245),0.0006391818472355385,0.03566340312524933,0.0005777223057009243,2.924685922578619e-10
Moma Stanojlović(2505),0.0006391818472355385,0.031176828113946373,0.0005760767927818608,1.6154373651056407e-11
Veliki Trafo(1868),0.0006391818472355385,0.02729318586232162,0.0005729423205311925,2.3526879015129785e-17
Rk Beograđanka(113),0.0006391818472355385,0.05625775364533703,0.0005704849652994698,0.0023930064421956816
Rupčine(984),0.0009587727708533077,0.0425639002625386,0.0005703249836082984,2.760825323278879e-08
Branko Plećaš(327),0.0006391818472355385,0.04037575648089604,0.0005695496938339688,7.311347321423969e-09
Oš Nikola Tesla(2777),0.0006391818472355385,0.027266548154344872,0.0005691822154643448,2.033727367380337e-14
Savski Most(3142),0.001278363694471077,0.0575025268767803,0.000564193888983766,0.002389260139418252
Batajnica (Centar)(1177),0.0006391818472355385,0.03308205491473098,0.0005632023446370065,3.010524799786548e-10
Drobnjački Kraj 1(3094),0.0006391818472355385,0.03555075839345566,0.0005600848034355927,3.1251622497059798e-12
Vojislava Ilića(426),0.0006391818472355385,0.04641056066449125,0.0005593014971613264,7.769765042140326e-08
Blok 37(1091),0.0006391818472355385,0.050927734375,0.0005589128499853152,2.362717622095222e-05
