,index,BC_lovain
310,Pilota Mihajla Petrovića(520),4.904208546564234e-06
680,Palata Srbija(303),4.904208546564234e-06
141,Novo Groblje(80),4.904208546564234e-06
36,Bulevar Kneza Aleksandra Karađorđevića(1044),4.904208546564234e-06
1079,Dr Ivana Ribara(1148),4.904208546564234e-06
514,Src Makiš(548),4.904208546564234e-06
277,Mz Krnjača(769),4.904208546564234e-06
558,Karaburma 2(547),4.904208546564234e-06
370,Studentski Grad(1118),4.887180044666441e-06
806,Tc Galerija(3109),4.802037535177479e-06
185,Katanićeva(204),4.802037535177479e-06
1183,Put Za Soko Salaš(1861),4.802037535177479e-06
523,Erport Siti(798),4.767980531381894e-06
160,Takovska(58),4.733923527586309e-06
42,Gučevska(2904),4.699866523790724e-06
1192,Surčinska(1139),4.699866523790724e-06
1141,Novo Naselje(1437),4.699866523790724e-06
146,Braće Ribnikar(1079),4.699866523790724e-06
145,Braće Ribnikar(1080),4.699866523790724e-06
938,Milana Rakića(2283),4.665809519995139e-06
192,Trg Republike(193),4.638563916958671e-06
422,Omladinskih Brigada(399),4.6147240143017615e-06
1191,Magelanova(2193),4.597695512403969e-06
376,Sc Vizura(1983),4.580667010506176e-06
525,Omladinskih Brigada 1(2322),4.563638508608385e-06
187,Pravni Fakultet(582),4.563638508608385e-06
605,Hotel Jugoslavija(306),4.563638508608384e-06
1255,Aleksandra Vojinovića(896),4.4955245010172145e-06
1143,"Oš ""Dragojlo Dudić""(1433)",4.4955245010172145e-06
963,Pretok(2157),4.4955245010172145e-06
119,Marijane Gregoran(608),4.4955245010172145e-06
503,Sp Lasta(696),4.4955245010172145e-06
559,Salvadora Aljendea(335),4.4955245010172145e-06
425,Erport Siti(799),4.4955245010172145e-06
312,Marička(736),4.4955245010172145e-06
794,Tehnička Škola Novi Beograd(797),4.4955245010172145e-06
347,Jablanička(1009),4.4955245010172145e-06
544,Peke Pavlovića(590),4.4955245010172145e-06
650,Kalemegdan(5),4.4955245010172145e-06
41,Trg Slavija /Nemanjina/(926),4.46146749722163e-06
61,Raška(861),4.410381991528252e-06
33,Trg Slavija /Nemanjina/(925),4.39335348963046e-06
263,Dušanova(530),4.359296485834874e-06
961,Bratstva I Jedinstva(1280),4.291182478243705e-06
640,Železnička Stanica Beograd Centar(2903),4.291182478243705e-06
666,Konjarnik(222),4.291182478243705e-06
781,Oš Jovan Sterija Popović(2673),4.291182478243705e-06
895,Go Vračar(2500),4.291182478243705e-06
816,Naselje Belvil(2759),4.291182478243705e-06
911,Železnička Rampa(1660),4.291182478243705e-06
620,Braće Vučković(916),4.291182478243705e-06
529,Paviljoni(461),4.291182478243705e-06
311,Pilota Mihajla Petrovića(521),4.291182478243705e-06
968,Drinske Divizije(1276),4.18901146685695e-06
835,Trebevićka(187),4.1549544630613655e-06
847,Banovo Brdo(1027),4.154954463061365e-06
844,Julino Brdo(723),4.154954463061365e-06
825,Dom Zdravlja(183),4.086840455470195e-06
1182,Put Za Soko Salaš(1862),4.086840455470195e-06
452,Careva Ćuprija(3699),4.086840455470195e-06
818,Kongrap(1654),4.086840455470195e-06
1124,Dušana  Petrovića Šaneta(1453),4.086840455470195e-06
484,Stari Vinogradi(2078),4.086840455470195e-06
1065,Put Za Kovilovo(1284),4.086840455470195e-06
162,Vojvode Dragomira(205),4.086840455470195e-06
462,Dušanovac /Pošta/(561),4.086840455470195e-06
600,Glavna Pošta(267),4.0187264478790255e-06
688,Metro(2841),3.98466944408344e-06
398,Džona Kenedija(405),3.908041185543374e-06
120,Vojvode Micka Krstića(345),3.882498432696685e-06
652,Pristanište(6),3.882498432696685e-06
64,Beranska(678),3.882498432696685e-06
1040,Pupin Telekom(2840),3.882498432696685e-06
22,Prešernova(451),3.882498432696685e-06
1296,Dobanovci /Centar/(1817),3.882498432696685e-06
1151,Novo Naselje(1436),3.882498432696685e-06
57,Plivalište Banjica(288),3.882498432696685e-06
709,Konjarnik(221),3.882498432696685e-06
1150,Nine Kirsanove(1434),3.882498432696685e-06
472,Svetozara Radojčića(263),3.882498432696685e-06
125,Vojvode Micka Krstića(655),3.882498432696685e-06
83,Kružni Put(1616),3.882498432696685e-06
372,Narodnih Heroja(1987),3.7939502228281645e-06
