,Id,Composite,DC,CC,BC,EVC,lat,lon,community
790,Stari Vinogradi(2077),0.0010439929271388374,0.0006391818472355385,0.03867259918427883,0.0012779550104255301,1.9214858353470278e-10,44.763897,20.516239,8
2279,Katarine Ivanović(645),0.0011395808881685431,0.0006391818472355385,0.04584212376933896,0.0012779550104255301,1.3397268604572117e-06,44.778648,20.489201,8
2725,Mate Miloševića(2641),0.0010292881193124776,0.0006391818472355385,0.03756618203210354,0.0012779550104255301,2.8246242570080378e-11,44.760441,20.508181,8
2733,Mate Miloševića(3070),0.0010377862080202084,0.0006391818472355385,0.03820559469590593,0.0012779550104255301,8.591940249806946e-11,44.760841,20.508295,8
753,Veliki Mokri Lug (Izlaz)(2247),0.0011631146103728775,0.0006391818472355385,0.047837453561436497,0.0012376529303861458,2.3032363113049948e-07,44.768379,20.513372,8
323,Jovana Bijelića(596),0.0010921283034271438,0.0006391818472355385,0.04378918495297806,0.0009850163456548448,6.281171958424925e-08,44.772011,20.493237,8
322,Dragice Končar 1(598),0.0010874847990266486,0.0006391818472355385,0.04350727902223334,0.0009719564862619748,1.6045005021806497e-08,44.769863,20.49659,8
754,Braće Srnić(2152),0.0011250353501645672,0.0006391818472355385,0.046595088827006984,0.0009203097503091431,9.250540654958053e-08,44.771656,20.512157,8
346,Dragice Končar(599),0.0010731604341172177,0.0006391818472355385,0.04359638856378532,0.0007434540590158718,1.0482496397382953e-08,44.768173,20.499773,8
791,Buljubašine Vode(2079),0.0009815232241323416,0.0006391818472355385,0.03723404255319149,0.0006391818472355385,4.2292198664899653e-11,44.760075,20.51833,8
2278,Umljenovićeva(647),0.0010693121841352034,0.0006391818472355385,0.04383458014625536,0.0006391818472355385,2.881234503332899e-07,44.777584,20.493799,8
2724,Miljana Miljanića(2642),0.000967877561874896,0.0006391818472355385,0.036207315520892396,0.0006391818472355385,6.223480853247403e-12,44.762089,20.508221,8
2734,Miljana Miljanića(3071),0.0009757671072831227,0.0006391818472355385,0.036800940899735374,0.0006391818472355385,1.893380460979515e-11,44.762745,20.508257,8
183,Vojislava Ilića(426),0.0010980795711034112,0.0006391818472355385,0.04641056066449125,0.0005593014971613264,7.769765042140326e-08,44.771908,20.504194,8
180,Vojislava Ilića(427),0.00108812234591118,0.0006391818472355385,0.046460176991150445,0.0004028922714087685,6.940770962697867e-08,44.771744,20.504288,8
181,Medaković 3(264),0.0010813223243361075,0.0006391818472355385,0.0459586093444766,0.0004008374003322666,9.376379505001567e-08,44.772289,20.507448,8
792,Veliki Mokri Lug(2081),0.0006987422213773214,0.00031959092361776926,0.035897847735303565,0.0,8.917973008134243e-12,44.756969,20.51923,8
2138,Kumodraž (Stepina Kuća)(2410),0.0007128592194737293,0.00031959092361776926,0.03696003968863322,0.0,6.952142364833372e-12,44.742367,20.516115,8
2277,Medaković 2(649),0.0007797809637168545,0.00031959092361776926,0.04199436317272849,0.0,5.9342532702037656e-08,44.775402,20.498468,8
2723,Vojvode Vlahovića (Terminus)(3073),0.0006860458144295698,0.00031959092361776926,0.03494254413883212,0.0,1.3131797414572394e-12,44.764046,20.5107,8
2735,Vojvode Vlahovića (Terminus)(3072),0.0006933895934128294,0.00031959092361776926,0.035495105101357866,0.0,3.996355263313217e-12,44.764194,20.51086,8
526,Pančevački Most(349),0.005065540121412272,0.0009587727708533077,0.05098333143238883,0.04628887539006792,0.002581229125719122,44.817871,20.488523,9
644,Mz Krnjača(769),0.002703720854407221,0.0009587727708533077,0.04873831775700935,0.01856690116552142,0.0005813255943050284,44.837791,20.494026,9
905,Pretok(2157),0.0024005749037204088,0.0009587727708533077,0.039987220447284345,0.01774333914890096,1.5820213310654815e-07,44.891182,20.458193,9
648,Pirotsko Naselje(1260),0.002421371999654184,0.0009587727708533077,0.042362784652459996,0.017577307189176987,2.3445741580320886e-06,44.853672,20.483595,9
652,Sebeš Mokri(1252),0.0023672613365267967,0.0009587727708533077,0.03863487634123153,0.01751780086929303,7.0152507058520075e-09,44.87207,20.471354,9
645,"Blok ""Branko Momirov""(768)",0.0022736875302960483,0.0006391818472355385,0.046739861079991035,0.0174021730654538,0.00012515586133132268,44.84145,20.490927,9
649,Pakračka(1258),0.002146539678693583,0.0006391818472355385,0.04111100892118091,0.017044825891291214,5.046497444342561e-07,44.858597,20.480299,9
646,Partizanski Blok(766),0.0021923757721008645,0.0006391818472355385,0.044996980068451785,0.016870946075449388,2.709020193881398e-05,44.846451,20.488241,9
694,Partizanski Blok(765),0.002213246511376992,0.0006391818472355385,0.04591881658888791,0.01682803949965138,7.82663113523333e-05,44.845947,20.488205,9
650,Sebeš Suvi(1256),0.0021031157877579774,0.0006391818472355385,0.039994375990592565,0.016624963646202837,1.0870612084867912e-07,44.8619,20.478088,9
647,Blok Sutjeska(764),0.002363155861594131,0.0009587727708533077,0.043563005555014134,0.016470524296195478,6.5372794137656405e-06,44.849503,20.486374,9
693,Blok Sutjeska(1906),0.00236667336340785,0.0009587727708533077,0.04431760240213019,0.016336879711215595,1.789191186219945e-05,44.848438,20.486774,9
651,Sebeška Reka(1254),0.002070473588190505,0.0006391818472355385,0.03925726115049244,0.01628861437442925,2.3807564841699995e-08,44.868443,20.473709,9
687,Borča Raskršće(1249),0.002303595999160571,0.001278363694471077,0.038339010463891,0.013371704258206897,4.6887484820946565e-09,44.877178,20.467548,9
852,Bratstva I Jedinstva(1274),0.002065097736039999,0.0009587727708533077,0.03877563665654626,0.013037729488800531,4.08577287484369e-08,44.886929,20.461012,9
692,Pirotsko Naselje(1259),0.0019997391877397113,0.0009587727708533077,0.042905331285651604,0.011251603393081566,4.355684943857032e-06,44.852428,20.484112,9
854,Borča Raskršće(1932),0.002138285349914696,0.001278363694471077,0.03725044345766021,0.011149033855900096,1.9315305920786244e-09,44.878094,20.465836,9
853,Kosovopoljska(2155),0.001901497989610386,0.0009587727708533077,0.03796731098249063,0.010785480563064298,1.0280207452726519e-08,44.882343,20.464096,9
686,Popova Bara(2242),0.0018787417305091533,0.0009587727708533077,0.03706555473951053,0.010626791114537857,1.4335413791073008e-09,44.880463,20.468575,9
691,Pakračka(1257),0.0017090440321103424,0.0006391818472355385,0.04161346951803383,0.010498472813081285,9.374977752207801e-07,44.857395,20.480787,9
851,Drinske Divizije(1276),0.0018736808709914423,0.0009587727708533077,0.038359220801510344,0.010298783027865742,2.8775114743599416e-08,44.885078,20.457607,9
690,Sebeš Suvi(1255),0.0016635465414533692,0.0006391818472355385,0.04045405768808098,0.010057561597899752,2.0180702870771434e-07,44.860615,20.478636,9
654,Popova Bara(2241),0.0018276185794792654,0.0009587727708533077,0.03717123238851006,0.009852785322135264,4.035113159352458e-09,44.879681,20.467943,9
689,Sebeška Reka(1253),0.0016272324216889706,0.0006391818472355385,0.039552021842727304,0.009699647300968079,4.355659130355035e-08,44.868011,20.473696,9
850,Save Mrkalja(1278),0.0018036306525159326,0.0009587727708533077,0.03697401538516076,0.009537935636869393,6.629699842141153e-09,44.882549,20.454826,9
688,Sebeš Mokri(1251),0.0015997296587609375,0.0006391818472355385,0.038890822312816944,0.009423990723127646,9.930408658876054e-09,44.872688,20.470545,9
685,Mihaila Petrovića(2868),0.0015427888547264385,0.0006391818472355385,0.03575468787494429,0.009199163023273647,3.107630809025909e-10,44.881783,20.471573,9
655,Mihaila Petrovića(2859),0.0015439582190215017,0.0006391818472355385,0.035853012959334504,0.009197136260957117,8.777602104822593e-10,44.881527,20.472933,9
653,Borča Raskršće(1250),0.0017880300128928495,0.0009587727708533077,0.03822893376828061,0.009062296844762606,8.299435618087246e-09,44.877655,20.46755,9
684,Put Za Ovču(1332),0.001483636290200353,0.0006391818472355385,0.034533374536464774,0.008566724462789608,6.74564329039419e-11,44.88142,20.476355,9
656,Put Za Ovču(1331),0.001484717690296543,0.0006391818472355385,0.03462508852691218,0.008564697700473127,1.9130253386034364e-10,44.881294,20.476999,9
683,Mirgorodska(1336),0.001425556037270462,0.0006391818472355385,0.033392740894101575,0.007934285902305596,1.4665497050255715e-11,44.881359,20.482027,9
657,Mirgorodska(1335),0.0014265581238658933,0.0006391818472355385,0.033478488813755175,0.007932259139989116,4.1786078658489524e-11,44.881416,20.482885,9
682,Branislava Cige Jerinića(1334),0.0013684452088044167,0.0006391818472355385,0.032325048038182605,0.007301847341821495,3.194268612842075e-12,44.882206,20.491035,9
658,Branislava Cige Jerinića(1333),0.0013693754915746798,0.0006391818472355385,0.032405393649412785,0.007299820579505185,9.151030887578291e-12,44.882141,20.491793,9
849,Mihajla Šolohova(1244),0.0018544727167247093,0.001278363694471077,0.03589290630448747,0.007232897172066487,1.7186539777680653e-09,44.878899,20.4569,9
681,Efeska(1989),0.001312213690903041,0.0006391818472355385,0.03132351616229365,0.0066694087813373775,6.972491808339573e-13,44.882816,20.497248,9
659,Efeska(1988),0.0013130787510965232,0.0006391818472355385,0.031398954371669695,0.006667382019021285,2.0101037081216686e-12,44.882683,20.496759,9
855,Valjevskog Odreda(1319),0.00133172478766128,0.0006391818472355385,0.03592216290683658,0.0060563273743883825,4.174539954672916e-10,44.875099,20.461948,9
680,Vojvođanski Salaši(2148),0.0012567822069247726,0.0006391818472355385,0.03038218044820756,0.006036970220853364,1.5258357824123742e-13,44.883644,20.503622,9
660,Vojvođanski Salaši(2147),0.0012575878433224812,0.0006391818472355385,0.030453147506520808,0.0060349434585372725,4.430787267213875e-13,44.883644,20.504353,9
856,Sonje Marinković(1317),0.0012722136467573273,0.0006391818472355385,0.0346853487933844,0.0054216410516538605,9.029378644612329e-11,44.873428,20.459156,9
679,Atovi(1338),0.001202080732950734,0.0006391818472355385,0.02949577217838862,0.005404531660369352,3.348990089983413e-14,44.884399,20.509499,9
661,Atovi(1337),0.0012028320762957666,0.0006391818472355385,0.029562654119781186,0.00540250489805326,9.805776979804425e-14,44.884476,20.510691,9
848,Jna(3628),0.0012698906014748843,0.0006391818472355385,0.03465807137635409,0.005392751819588596,3.738532590480261e-10,44.876873,20.458778,9
857,Trg Oslobođenja(1320),0.0012137968083840642,0.0006391818472355385,0.03353086790188283,0.0047869547289193844,1.9548575486067375e-11,44.871971,20.456703,9
678,Agro-Koka(2183),0.001148047185500914,0.0006391818472355385,0.02865962006997747,0.004772093099885345,7.375842939846451e-15,44.885212,20.515867,9
662,Agro-Koka(675),0.0011487487923332882,0.0006391818472355385,0.02872275973489508,0.0047700663375692415,2.180043602553264e-14,44.885414,20.517164,9
1760,Put Za Kotež(1722),0.0015581294814730519,0.0009587727708533077,0.042809062551305205,0.004763318380256319,4.355824445746969e-06,44.851711,20.47961,9
847,Petra Drapšina(1100),0.0012114974357773337,0.0006391818472355385,0.03350537542296655,0.004758065496854028,8.147930384748361e-11,44.871124,20.456478,9
906,Kosovopoljska(2154),0.0014881702840121433,0.0009587727708533077,0.03858532795679035,0.0045739878068902775,2.9070410773032294e-08,44.884888,20.462627,9
1643,Zrenjaninski Put(1203),0.0014617758427219842,0.0009587727708533077,0.03870177738747542,0.004162221376595549,4.062010069563538e-08,44.886505,20.459034,9
858,Branka Radičevića(1322),0.0011563684830601792,0.0006391818472355385,0.03245076382190971,0.004152268406184925,4.236997066614178e-12,44.869221,20.453556,9
677,Ovča /Izlaz/(2150),0.001094626326900898,0.0006391818472355385,0.027869567928175073,0.004139654539401358,1.6309046238421306e-15,44.88649,20.52317,9
663,Ovča /Izlaz/(2149),0.0010952822577675006,0.0006391818472355385,0.02792927083984183,0.004137627777085201,4.871791889976194e-15,44.886402,20.522964,9
846,Branka Radičevića(1323),0.0011540905676400049,0.0006391818472355385,0.03242688664580181,0.004123379174119447,1.7797991115941305e-11,44.869125,20.454575,9
859,Vuka Karadžića(1324),0.0010998361166318228,0.0006391818472355385,0.031438073325362456,0.0035175820834504037,9.195570081472957e-13,44.869331,20.449327,9
676,Ovča /Ulaz/(1340),0.0010417688469750662,0.0006391818472355385,0.027121905554399833,0.0035072159789174056,3.6225310475648086e-16,44.886993,20.529449,9
664,Ovča /Ulaz/(1339),0.0010423827321423718,0.0006391818472355385,0.027178444861371692,0.003505189216601128,1.0950153911426909e-15,44.88707,20.530167,9
